sent0,sent1
Kantor Staf Kepresidenan Mengklarifikasi Bahwa Tidak Ada Dokumen Penting Negara yang Hilang Pada Kasus Pencurian Terhadap Stafnya,"  Karena itulah sebuah data-data yang memang harus kita publish,” kata Moeldoko"
"""Pare Tidak Serta-merta Bisa Menyembuhkan Kanker""",  Mengonsumsi air rebusan pare tentu tidak akan cukup untuk menyembuhkan kanker
Klarifikasi Ponpes Darul Muwahiddin Atas Penolakan Kedatangan Ma’aruf Amin,  Insya Allah Darul Muwahhidin tidak terkait dengan kegiatan politik praktis
Klarifikasi Kemenkes Terkait Tuduhan Penggunaan Foto Tanpa Izin Untuk Bungkus Rokok,"  Menanggapi hal tersebut, Kementerian Kesehatan (Kemenkes) sebagai pihak yang mengedarkan angkat bicara"
PNS dan Guru Dilaporkan Terbanyak Sebar Hoaks di Medsos, Hal itu adalah untuk meneruskan dari Surat Edaran Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 137 Tahun 2018 tentang Penyebarluasan Informasi Melalui Media Sosial Bagi ASN
Mahasiswa UnSri meninggal dunia setelah terjatuh dari lantai tiga apartemen Unsri, Seketika itu Mahasiswa Semester 1 Fakultas MIPA Unsri Jurusan Kelautan itu pun terjatuh hingga ke tanah
"Rohani Sebut Pertumbuhan Ekonomi SBT Paling Rendah di Maluku, Akademisi Buka Data 2015-2019","  “Kalau sebelumnya itu pertumbuhannya (di SBT) tidak tinggi tetapi lebih cepat dari kabupaten lain yang berdiri (pemekaran) bersamaan kabupaten SBT, semisal Kabupaten Aru,” ujar Leasiwal"
Klarifikasi Tokopedia Terkait Isu Kebocoran Data," Dengan beredarnya data penjual itu, kata Nuraini, Tokopedia untuk sementara waktu menonaktifkan informasi publik tersebut"
Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya, Wulan mengatakan PEPES memiliki data keanggotaan di setiap daerah
"Benarkah pernyataan Calon Presiden Joko Widodo bahwa Pemerintah Indonesia telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport?"," Dalam perjalanan panjang tersebut, pada tahun 2017 Menteri Energi dan Sumber Daya Mineral (ESDM) Ignasius Jonan sempat mempersilakan Chevron memperpanjang kontraknya sebab pada tahun 2021 kontrak pengelolaan tersebut akan habis"
"Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?","Menurut dokumen yang terlampir dalam ringkasan APBD Sleman 2020, yang bisa diakses di situs web Badan Keuangan dan Aset Daerah (BKAD) Kabupaten Sleman, anggaran belanja daerah sebesar Rp2"
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien," Ditegaskan, pendekatan yang akan dilakukan dan diklaim lebih baik dan efisien, adalah dengan melibatkan masyarakat terkait perencanaan pembangunannya"
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien,"Pada panggung debat capres kedua, Prabowo mengkritik pembangunan yang dibangun di era Jokowi"
"Lambangnya Dicatut Sekber Gerindra-PKS, PBB Beri Klarifikasi"," co, Ketua Bidang Pemenangan PBB Sukmo Harsono membantah partainya terlibat dalam peresmian Sekber tersebut"
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja,  Tidak mencari kerja tapi menciptakan lapangan kerja
Benarkah selama puluhan tahun banyak perusahaan besar meninggalkan limbah dan tidak membayar pajak?,"  Padahal, ada potensi penerimaan pajak yang mencapai Rp 40 triliun"
Video Viral Polisi Menendang Muka Ibu-Ibu, Kapolda Kepulauan Bangka Belitung Brigadir Jenderal (Pol) Syaiful Zachri langsung bersikap terhadap beredarnya video seorang oknum perwira polisi yang melakukan kekerasan terhadap seorang wanita terduga kasus pencurian
"Pilkada Sleman, Sri: Merapi Siaga, Warga Rentan Sudah Diungsikan?","  Kalau dari sisi lansia sebenarnya di atas ada 95 orang, tapi belum semua yang turun,"" ujar Suparmono kepada awak media di barak pengungsian Glagaharjo, Kamis (12/11), seperti diberitakan SuaraJogja"
Klaim Prabowo Terkait Operasional Pelabuhan Indonesia Diberikan Pihak Asing,Menteri Perhubungan Budi Karya Sumadi tak memungkiri keinginan pemerintah agar bandara dan pelabuhan dikelola oleh pihak asing
Penjelasan MUI terkait Pernyataan Tengku Zulkarnain yang Sebut MUI akan Ajukan Hukuman Potong Tangan Bagi Koruptor,  Ia juga mengimbau masyarakat tidak terpancing dengan beragam pernyataan terkait wacana potong tangan
“Demokrat: Iklan Jokowi di Bioskop Mengganggu Hak Konsumen”,"  Menurutnya, beriklan di bioskop akan mengganggu hak masyarakat yang tidak suka dengan Jokowi"
Benarkah pernyataan Calon Presiden Joko Widodo bahwa Indonesia kini berhasil menduduki tujuan wisata halal nomor satu di dunia?, Pasar wisata halal merupakan salah satu sektor pariwisata dengan tingkat pertumbuhan tercepat di seluruh dunia
Klarifikasi Kemenag Terkait Kabar Pemecatan Dosen Hayati,  “Hayati Syafri diberhentikan sebagai ASN karena melanggar disiplin pegawai
Video Pemotor yang Melintas di JLNT Casablanca Tak Ditilang Polisi Karena Punya Black Card,"  Alhasil, polisi yang berjaga di ujung JLNT tak menilang pemotor tersebut"
Jokowi Sebut 488 Kapal Ilegal Telah Ditenggelamkan,"Data Kementerian Kelautan dan Perikanan (KKP), jumlah kapal pelaku illegal fishing yang telah ditenggelamkan sejak Oktober 2014 adalah 488 kapal, dengan rincian Vietnam 276 kapal, Filipina 90 kapal, Thailand 50 kapal, Malaysia 41 kapal, Indonesia 26 kapal, Papua Nugini 2 kapal, Tiongkok 1 kapal, Belize 1 kapal dan tanpa negara 1 kapal"
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja,"  Sidrap memang salah satu daerah lumbung pangan, penghasil beras terbesar di Indonesia"
“Indochina” di Foto Kontainer “Southern Hauliers”,Foto yang sama di 2016 lalu dipelintir menjadi “Negara Indonesia-China”
Penjelasan Mosaik Jalan di Depan Balaikota Surakarta Solo yang Disebut Mirip Salib,Foto dan video yang menampilkan mosaik Jalan Jenderal Sudirman depan Balai Kota Surakarta di media sosial
"Penggalian Saluran Air di Penjaringan, Jakarta Utara Bukan Proyek Palyja"," Atas kejadian tersebut, pihak Palyja pun angkat bicara"
Benarkah Polisi Menurunkan Bendera-bendera Peserta Piala Dunia 2018 di Kabupaten Sorong?,"  Siregar, mengatakan, penurunan bendera – bendera tersebut sesuai dengan Peraturan Pemerintah Republik Indonesia no 41 tahun 1958 tentang penggunaan Bendera Negara Asing di wilayah NKRI"
Mahasiswa UnSri meninggal dunia setelah terjatuh dari lantai tiga apartemen Unsri, Irfan yang merupakan siswa SMA Titian Teras angkatan 2016 tersebut terjatuh dari lantai tiga apartemen Unsri tersebut meninggal sekitar pukul 19
Pesawat Citilink QG 801 Rute Semarang-Surabaya Tidak Hilang,Informasi yang menyebutkan pesawat Citilink QG 801 rute Semarang-Surabaya hilang dari radar tidak benar
Barcode dari Menristekdikti terhubung dengan website keberhasilan Jokowi,"  Saat Tempo memindai barcode itu, memang benar terhubung dengan website http://hebatdiki"
Penjelasan Mosaik Jalan di Depan Balaikota Surakarta Solo yang Disebut Mirip Salib, Banyak warganet yang mengecam bentuk mosaik tersebut
Informasi Pihak Kepolisian Akan Bubarkan Warga yang Salat Idul Adha di Jembatan Ampera,"Menanggapi hal itu, Kapolda Sumatera Selatan Irjen Pol Zulkarnain Adinegara menegaskan warga tetap diperkenankan salat di jembatan Ampera"
"Klarifikasi LIPI Terkait Isu Pemusnahan Buku, Tesis, dan Disertasi","Lembaga Ilmu Pengetahuan Indonesia (LIPI) melalui Pusat Dokumentasi dan Data Ilmiah (PDDI) memberikan klarifikasi terkait isu pemusnahan buku, tesis, dan disertasi"
Penjelasan MUI terkait Pernyataan Tengku Zulkarnain yang Sebut MUI akan Ajukan Hukuman Potong Tangan Bagi Koruptor,"  Menurut Masduki, MUI tidak pernah membahas sedikitpun terkait wacana tersebut"
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker," Sebab, Dewan Pertimbangan Klinis telah memutuskan bahwa Trastuzumab atau Herceptin pada pasien kanker stadium metastasis tidaklah efektif"
Video Viral Polisi Menendang Muka Ibu-Ibu,"Setelah ditelusuri, ternyata ibu itu merupakan pelaku pencurian"
"Polisi Membubarkan Parade LGBT di Istanbul, Turki","Berdasarkan berita di media dan verifikasi lokasi, acara tersebut memang benar berlangsung di Instanbul"
Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO,Sempat santer isu Pemerintah Provinsi (Pemprov) DKI Jakarta menganggarkan Rp56 Miliar untuk pembangunan tiga Jembatan Penyeberangan Orang (JPO)
"Rohani Sebut Pertumbuhan Ekonomi SBT Paling Rendah di Maluku, Akademisi Buka Data 2015-2019"," 23 ribu penduduk miskin, di tahun 2018 naik menjadi 26"
"Penggalian Saluran Air di Penjaringan, Jakarta Utara Bukan Proyek Palyja"," com, Wakil Gubernur DKI Jakarta Sandiaga Uno menyatakan bahwa proyek galian yang menelan korban jiwa di Penjaringan bukan dikerjakan oleh Palyja"
Kantor Staf Kepresidenan Mengklarifikasi Bahwa Tidak Ada Dokumen Penting Negara yang Hilang Pada Kasus Pencurian Terhadap Stafnya,"Atas beredarnya isu adanya dokumen penting negara yang hilang saat terjadi pencurian terhadap Armedya Dewangga, Staf Ahli Muda Kedeputian III Bidang Kajian Pengelolaan dan Isu Ekonomi Strategis Kantor Staf Kepresiden (KSP), pihak KSP pun memberikan klarifikasi"
Klarifikasi Tentang Isu Gunung Salak Erupsi/Meletus,"Atas isu Gunung Salak Erupsi/Meletus, Badan Nasional Penanggulangan Bencana (BNPB) memberikan klarifikasi"
Klarifikasi Temuan Tim Investigasi Unnes Terkait Dugaan Plagiarisme Rektor Unnes,"  Mungin Edi Wibowo mengatakan, dari hasil investigasi dan penelitian yang dilakukan, maka menyimpulkan jika Fathur tidak melakukan plagiasi terhadap skripsi Anif Rida, mahasiswa Unnes"
Selebaran Poster Acara Penobatan Miss Waria Banten 2018," Pembatalan acara tersebut diketahui berdasarkan foto surat pernyataan pembatalan acara Miss Waria yang ditandatangani Camat Carita, Suntama dan panitia penyelenggara yang bernama Nurul"
Pertamina Bantah Mengurangi Kuota BBM Bersubsidi Di Wilayah Solo Raya dan DI Yogyakarta," info, Manajer Komunikasi dan CSR Pertamina MOR IV, Andar Titi Lestari membantah telah mengurangi kuota BBM bersubsidi di wilayah tersebut"
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja," Menurut Sandiaga Uno, ini sebagai bukti bahwa masih banyak anak muda di Indonesia yang masih mau terjun dalam industri pangan, seperti Herman dan keluarganya"
Klarifikasi Kemenkes Terkait Tuduhan Penggunaan Foto Tanpa Izin Untuk Bungkus Rokok," com, Kepala Subdit, Advokasi dan Kemitraan, Direktorat Promosi Kesehatan, Ditjen Kesmas, Sakri Sab’atmaja menegaskan, foto pria menggendong anak yang digunakan pada bungkus rokok bukanlah Dadang"
Berpose Foto Salam Dua Jari Memakai Rompi Bawaslu,"Sebuah foto 3 orang yang memakai rompi bawaslu berfoto dengan pose salam dua jari, tanda dukungan kepada paslon Prabowo – Sandi"
4 Unicorn Indonesia yang Dibanggakan Jokowi,"  Bahkan, di tahun 2019 ini, Ia menargetkan satu startup siap menjadi unicorn tahun ini"
Pesawat Citilink QG 801 Rute Semarang-Surabaya Tidak Hilang,"  “Manajemen Citilink Indonesia memastikan keselamatan dan keamanan setiap penerbangan, dan hingga hari ini semua penerbangan berjalan secara normal,” ujar Ranty"
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien,"  Baginya, utang ini beresiko terhadap efisiensi infrastruktur yang sudah dibangun"
Benarkah pemerintahan Presiden Jokowi sudah memperkuat pertahanan dan keamanan di luar kawasan Pulau Jawa?,"  Setelah di Natuna, Indonesia membangun Satuan TNI Terintegrasi di Morotai, Biak"
Pesawat Citilink QG 801 Rute Semarang-Surabaya Tidak Hilang," com, Vice President Corporate Secretary & CSR PT Citilink Indonesia, Ranty Astari Rachman menegaskan, kabar tersebut tidak benar"
Guru di Bekasi Dipecat Lewat Pesan Grup Whatsapp Gara-Gara Beda Pilihan di Pilkada Jabar,"  Menurut dia, tidak ada pemecatan terhadap seorang guru yang mengajar di kelas 3, Robiyahtulah Dawiyah"
"""Bukan disebabkan vaksin, siswa MI di Palembang tewas karena radang otak""","""Tim dokter menemukan fakta bahwa korban menderita accute disseminated encephalomyelitis atau radang otak bersamaan dengan imunisasi"
"Debat Pilkada Solo: Gibran Sebut Setiap Kelurahan Punya Gamelan, Ini Faktanya!",  IA mengatakan nantinya bantuan seperangkat gamelan akan diserahkan kepada 54 kelurahan di Kota Solo
"Rohani Sebut Pertumbuhan Ekonomi SBT Paling Rendah di Maluku, Akademisi Buka Data 2015-2019"," Jumlah penduduk miskin di Kabupaten SBT juga relatif naik, tahun 2017 26"
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker,  Deputi Direksi Bidang Pelayanan Peserta BPJS Kesehatan Arief Syaifuddin mengatakan lembaganya masih menanggung sebagian dari obat untuk penderita kanker payudara
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja,"Cawapres nomor urut 02 Sandiaga Uno berkampanye dan mengunjungi pengusaha beras bernama Rahman di Kabupaten Sindereng Rappang (Sidrap), Sulawesi Selatan"
"Debat Pilkada Solo: Bajo Klaim Cagar Budaya Di Solo Banyak Yang Dijual, Ini Faktanya!"," com, total cagar budaya di Solo ada 172 bangunan yang telah ditetapkan oleh Dinas Tata Ruang Kota (DTRK) Solo"
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien,  Prabowo memakai laporan Bank Dunia sebagai referensi dalam menyebut pembangunan Jokowi tidak efisien
Klarifikasi Video TKA China Mengukur Tanah,"Sebuah video yang memperlihatkan seorang warga negara asing (WNA) asal Tiongkok (China) tengah mengukur tanah di Jatimulya, Bekasi menjadi viral beberapa hari yang lalu"
Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO,"  Kepala Dinas Bina Marga DKI Jakarta Yusmada Faizal menjelaskan, anggaran Rp56 miliar untuk pembangunan tiga JPO di Jalan Jenderal Sudirman-MH Thamrin belum merupakan angka final"
Amien Rais menyebut 74 persen tanah di Indonesia dikuasai segelintir orang.,"  Menurut Drajad, rasio gini itu bisa diterjemahkan sebagai 1 persen penduduk Indonesia menguasai 74 persen lahan"
"Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?"," 139,85, setengah dari anggaran belanja daerah dalam APBD Sleman 2020"
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja, Rahman di mata Sandi adalah pengusaha muda yang memberikan inspirasi
Lahan Hutan Prabowo Ratusan Ribu Hektare,  PT Kiani Hutan Lestari (kehutanan & perkebunan)3
"Benarkah pernyataan Calon Presiden Joko Widodo bahwa Pemerintah Indonesia telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport?"," Pada saat penandatanganan HoA, semua pihak sepakat nilai saham divestasi PT Freeport Indonesia mencapai US$ 3,85 miliar"
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja,"  Ini belum termasuk dengan banyak orang lainnya yang terlibat dalam rantai distribusinya,"" terang Sandi di Sidrap, Rabu (28/3)"
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja," Ia mengatakan Sidrap memang salah satu daerah lumbung pangan, penghasil beras terbesar di Indonesia"
"Sebagian Benar, Klaim Jokowi Soal Hampir Tidak Ada Konflik Pembebasan Lahan","Menurut penelusuran tim cek fakta yang merupakan kolaborasi puluhan media, klaim tersebut sebagian benar"
Klarifikasi Tentang Isu Gunung Salak Erupsi/Meletus,  “Namun VAAC Darwin telah mengkoreksi hal itu bahwa tidak ada sebaran abu vulkanik dari daerah di sekitar Gunung Salak
"Debat Pilkada Solo: Bajo Klaim Cagar Budaya Di Solo Banyak Yang Dijual, Ini Faktanya!"," ""Kami mengingatkan bahwa pagar yang mengelilingi bangunan eks RS Kadipolo, Solo, dan bangunan yang ada di dalamnya adalah cagar budaya yang dilindungi oleh UU No"
Klarifikasi Tokopedia Terkait Isu Kebocoran Data, Ia juga menjelaskan bahwa data yang diklaim bocor itu sebenarnya memang data yang bisa diakses oleh siapapun
"Benarkah pernyataan Calon Presiden Joko Widodo bahwa Pemerintah Indonesia telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport?", Pertamina juga mengajukan proposal untuk mengelola Blok Rokan mulai tahun 2021
PAC PDIP Tenggilis Mejoyo Surabaya tangkap pelaku politik uang di Kendangsari," 40 WIB di rumah sebuah rumah di Jl Kendangsari GG IX Surabaya tersebut dipergoki oleh Ketua PAC PDI Perjuangan Tenggilis Mejoyo, Mardiono"
"Penyebutan ""topan dan badai"" di doa Ma'ruf Amin","Berdasarkan hasil pemeriksaan ke sumber-sumber valid yang menyiarkan secara langsung (live broadcast), memang benar disebutkan ""topan dan badai"""
Jokowi: Kapal Nelayan di Bawah 10 GT Tidak Perlu Izin," Dijelaskan, untuk memperbaharui izin tidak membutuhkan waktu yang lama seperti pembuatan izin baru bagi kapal nelayan karena harus dilakukan proses verifikasi"
Video Viral Polisi Menendang Muka Ibu-Ibu,  Tertangkap 3 orang yang terdiri dari dua ibu-ibu dan 1 anak berusia 14 tahun
"Debat Pilkada Solo: Bajo Klaim Cagar Budaya Di Solo Banyak Yang Dijual, Ini Faktanya!"," ""Padahal bangunan cagar budaya itu sangat penting untuk diwariskan dari generasi ke generasi agar proses kesejarahannya tergambar utuh dalam tatanan masyarakat kita,"" ucap Yoseph"
Lahan Hutan Prabowo Ratusan Ribu Hektare," ""Tadi disinggung tentang tanah yang katanya saya kuasai ratusan ribu di beberapa tempat"
FPI Tidak Menyebarkan Spanduk Habib Rizieq Dukung Khilafah," co, Novel Bamukmin, Anggota FPI, membantah pihaknya telah melakukan pemasangan spanduk tersebut"
Klarifikasi Kemenkes Terkait Tuduhan Penggunaan Foto Tanpa Izin Untuk Bungkus Rokok,"Pria asal Kuningan, Dadang Mulya mengaku dirinya sebagai model dalam foto pria menggendong anak sambil merokok yang terpampang di bungkus rokok dan menyatakan bahwa penggunaan foto dirinya itu tidak berizin serta menuntut hak royalty"
"Klarifikasi LIPI Terkait Isu Pemusnahan Buku, Tesis, dan Disertasi","  Pelaksana Tugas Kepala Pusat Dokumentasi dan Data Ilmiah (PDDI) LIPI, Hendro Subagyo mengatakan, pihaknya tengah melakukan digitalisasi terhadap koleksinnya"
Klarifikasi Ridwan Kamil Terkait Foto 'Bowo',"Melalui akun instagramnya, akhirnya Ridwan Kamil memberikan klarifikasi sebagai berikut :  ""Buat yang suka marah-marah efek pilkada tanpa tabayun: Bowo Alpenleibe itu seleb tiktok yg jadi idola baru anak2, yg kebetulan minta 80k untuk bisa bertemu dan selfie, Bukan menyindir Bpk Prabowo Subianto yang sangat saya hormati"
Klarifikasi Video TKA China Mengukur Tanah," com, Menteri Ketenagakerjaan (Menaker) Hanif Dhakiri menegaskan, WNA asal China itu merupakan tenaga kerja asing (TKA) yang berstatus sebagai tenaga ahli dari perusahaan Sinohydro Co"
"Jokowi : ""Indonesia adalah negara penduduk muslim terbesar""","  Pew Research dalam laporannya memperkirakan pada 2050, India justru akan menjadi negara dengan penduduk atau populasi muslim terbesar dunia dengan jumlah 310,6 juta jiwa"
"Surat Suara Ditemukan Sudah Tercoblos di TPS Malaka, Begini Faktanya"," “KPU sudah perintahkan untuk mengganti surat suara yang tercoblos itu,” ungkapnya saat dikonfirmasi, Rabu (9/12)"
Rio Rizki Bukan Peraih Medali Emas Termuda Di ASIAN Games 2018," id, Rio mengatakan, dirinya kaget saat dirinya ditulis berusia 15 tahun oleh panitia dalam laman resmi ASIAN Games 2018"
Berpose Foto Salam Dua Jari Memakai Rompi Bawaslu," com, Apel siaga yang digelar Bawaslu Kota Makassar di Lapangan Karebosi, Makassar, Sulawesi Selatan, Minggu (14/4/2019) pagi diwarnai pose dua jari dua pengawas TPS"
Susu Kental Manis Tidak Cocok untuk Anak," Sc mengatakan, SKM kerap digunakan sebagai pengganti susu biasa oleh masyarakat"
"Jokowi : ""Indonesia adalah negara penduduk muslim terbesar""","  Berdasarkan buku ensiklopedia suku bangsa di Indonesia dan merujuk pada buku pedoman pengolahan SP2010, jumlah suku bangsa yang ada di Indonesia secara keseluruhan mencapai lebih dari 1"
Pesawat Citilink QG 801 Rute Semarang-Surabaya Tidak Hilang,"  Menurut dia, sejauh pemantauan manajemen dan hasil koordinasi di lapangan diketahui penerbangan pesawat yang dimaksudkan berjalan secara normal dan sudah mendarat selamat di Bandara Juanda Surabaya"
Klarifikasi Kemenag Terkait Kabar Pemecatan Dosen Hayati,"Inspektorat Jenderal (Itjen) Kementerian Agama mengklarifikasi pemberhentian dosen bercadar, Hayati Syafri sebagai Aparatur Sipil Negara (ASN)"
