sent0,sent1
PENAMPAKAN PANORAMA PLANET MARS SAAT MISI PENJELAJAHAN NASA PADA FEBRUARI 2021," Diklaim, jika rekaman visualisasi panorama Mars itu didokumentasikan pada saat misi penjelajahan tim Perseverance NASA (Badan Penerbangan dan Antariksa Amerika Serikat) pada Februari 2021"
"“Hukuman Mati Di Depan Mata, Aktor Ganteng Ini Cuma Minta Dibawakan Makanan Sisa Di Penjara, Ternyata Punya Alasan Mulia Dibaliknya”","Beredar sebuah artikel dari portal daring aji—berita[dot]blogspot[dot]com yang berjudul “Hukuman Mati Di Depan Mata, Aktor Ganteng Ini Cuma Minta Dibawakan Makanan Sisa Di Penjara, Ternyata Punya Alasan Mulia Dibaliknya”"
Pidato Henry Kissinger pada 25 Februari 2009 Mengenai Vaksinasi Massal dan Modifikasi Genetik,Akun Twitter dengan nama pengguna “wat_sa1981” mengunggah sebuah foto yang menunjukkan potongan pidato mengenai vaksin dan modifikasi genetik
Video “Nasbung Buat Reuni Kadrun diludahin dulu”,“Nasbung Buat Reuni Kadrun diludahin dulu sama korlap 😂😂Modyar Kowe…
FOTO KUBURAN MASSAL ULAMA DAN SANTRI 1948 OLEH PKI MUSO,"[FALSE CONTEXT]Berdasarkan aduan yang masuk, beredar foto yang diklaim sebagai kuburan massal ulama dan santri 1948 oleh pimpinan PKI Muso"
"Penerapan PSBB, Kota Depok Tutup Jalan"," Berikut kutipan narasinya:“PSBB di Kota Depok , berlaku mulai hari ini"
MOBIL DENGAN GAMBAR2019 TETAP JOKOWI NYUNGSEP KE GOT,MOBIL DENGAN GAMBAR2019 TETAP JOKOWI NYUNGSEP KE GOT
Tautan Alfamart Bagikan Gift Card Senilai Rp800.000,“Selamat! ANDA TELAH DIPILIH UNTUK MEMILIKI KESEMPATAN MENANGKAN KARTU HADIAH ALFAMART GRATIS BERHARGA Rp 800
"JANGAN AMBIL KEY CHAIN DALAMNYA ADA GPS NANTI DIIKUTI TERUS, SAMPAI RUMAH DIRAMPOK","Di pom bensin, mohon jangan ambil key chain ini walau dikasih gratis"
YUDHOYONO FOUNDATION DAPAT HIBAH 9 MILYAR BERSUMBER DARI APBD PACITAN,"tangkapan layar (screenshot) yang menyebut Yudhoyono Foundation mendapat dana hibah 9 milyar bersumber dari APBD Kabupaten Pacitan, Jawa Timur"
“Indonesia satu2nya negara didunia yang pemerintahnya bahagia merelakan rakyatnya jadi kelinci percobaan vaksin dari china”,5686) mengunggah sebuah gambar dengan narasi sebagai berikut: :“Indonesia satu2nya negara didunia yang pemerintahnya bahagia merelakan rakyatnya jadi kelinci percobaan vaksin dari china
"“Rombongan Koruptor, Tak Satupun Yang Diborgol!?”","Beredar postingan di media sosial Facebook rombongan koruptor mengenakan jas oranye sedang antre dengan narasi “Rombongan koruptor, tak satupun yang diborgol”"
JERMAN TELAH MENGHENTIKAN SEMUA VAKSIN COVID-19,Beredar sebuah cuitan dari akun @_melody_mellow yang mengklaim bahwa negara Jerman telah menghentikan semua vaksin Covid-19 karena dinyatakan tidak aman dan tidak direkomendasikan lagi penggunaannya
"“Tingkat Sulfur Dioksida tinggi di Kota Wuhan tanda kremasi massal korban coronavirus, indikasi ada lebih dari 50.000 korban jiwa dibakar”"," Sulfur dioksida (SO2) adalah sebuah gas yang dilepaskan ketika bahan organik, seperti tubuh manusia, dibakar"
"“Indonesia resmi keluar dari AFF, Indonesia dipastikan akan gabung di piala EAFF”","Beredar sebuah unggahan video di TikTok dengan caption “indonesia resmi keluar dari AFF, indonesia di pastikan akan gabung di piala EAFF” oleh akun Jumrang07"
Air Rebusan Nanas Bisa Membunuh Sel Kanker,"✓Air Nanas Panas dapat membunuh semua kuman dan racun dari dalam tubuh akibat dari alergi✓Jenis pengobatan dengan ekstrak nanas hanya menghancurkan sel-sel ganas, itu tidak mempengaruhi sel-sel sehat"
Situs Untuk Mendaftar Kartu Prakerja,_Daftar Prakerja Sekarang_Dapatkan bantuan sebesar 600
Merokok Menghadang Virus Corona Masuk Ke Paru-Paru,"Pada saat ini yang kita tahu bahwa orang yang terkena virus corona adalah orang yang tidak merokok, mengapa karena di dalam paru-paru mereka tidak ada getah nikotin yang mengikat virus atau kuman yang masuk ke dalam paru-paru mereka,yang menyebabkan virus tersebut bisa menggerogoti paru-paru mereka seperti virus corona ini"
Menag Belajar Mengaji Dengan Abu Janda,"” Diketahui bahwa tangkapan layar tersebut berasal dari artikel di laman mozilarain[dot]blogspot[dot]com dengan judul “Disindir Hanya Hafal Juz Amma, Akhirnya Menag Belajar Mengaji Dengan Abu Janda"
Anies Melarikan Diri Ke Eropa,si anies MELARIKAN DIRI dari TANGGUNG JAWAB KE EROPA…
Gula Jawa Mengandung Formalin,Untuk mengetahui mana Gula-Jawa yang pakai pengawet formalin bisadipakai tips berikut:1
Semua Aktifitas HP Terpantau BSSN,Pelantikan badan siber dan sandi nasional (BSSN)Semua aktivitas hp terpantau 100%Polisi sadap whatsappPolisi keliling whatsappsemua aktifitas HP dll
"Video “gempa Dari #Indonesia Magnitudo 7,7, getaran terasa lebih dari 2000 kilometer”","” atau yang jika diterjemahkan:“Video gempa Dari #Indonesia Magnitudo 7,7, getaran terasa lebih dari 2000 kilometer"
Pesan Whatsapp Bupati Pasuruan Beri Bantuan Sejumlah Dana untuk Yayasan,Beredar di media sosial sebuah percakapan Whatsapp yang mengklaim Bupati Pasuruan mengirimkan bantuan kepada sebuah pesantren
Akun Twitter Catut Nama Bank BRI, Akun dengan alamat @BRI_ID1 ini berada di Twitter sejak November 2020
Game Gratis di Tanggal 29-30 Februari 2019,"Setiap bulan Februari, selalu saja ada orang-orang yang membuat lelucon terkait tanggal 29 / 30 Februari"
TAMAN MOROSENENG SEMEMI SURABAYA," Unggahan diatas bukan taman moroseneng, tetapi Dubai Miracle Garden"
"Foto “Sekertaris kardinal vatikan dan raja arab saudi, meresmikan gereja katolik pertama kali di arab saudi”","ahiemza) pada 4 Mei 2021 mengunggah sbeuah foto dengan narasi sebagai berikut:“Sekertaris kardinal vatikan dan raja arab saudi, meresmikan gereja katolik pertama kali di arab saudi"
LINK ULTAH WHATSAPP KE-10 BAGIKAN KUOTA INTERNET GRATIS 50 GB,WhatsApp menawarkan kuota internet gratis 50 GB dalam rangka perayaan ulang tahun ke-10
Seorang Astronot Menjadi Lebih Muda 28 Detik dari Saudara Kembarnya setelah 2 Tahun di Luar Angkasa,com/groups/944884276271597/?ref=share) mengunggah sebuah narasi yang menyatakan bahwa seorang astronot asal Amerika Serikat menjadi lebih muda 28 detik dari kembarannya yang tinggal di bumi setelah tinggal di Stasiun Luar Angkasa Internasional (ISS) milik NASA selama 2 tahun
350 WARGA SELANDIA BARU MASUK ISLAM SETELAH 50 MUSLIM TERBUNUH DI NEW ZEALAND,"Berdasarkan aduan yang masuk melalui admin Line Jabar Saber Hoaks, menanyakan kebenaran berita yang beredar di Media Sosial mengenai 350 Warga Selandia Baru Masuk Islam Setelah 50 Muslim Terbunuh di New Zealand"
Foto Bocah Ditangkap Usai Mencuri Roti di Sebuah Toko di Amerika Serikat,Foto tersebut kemudian dikaitkan dengan perisitwa bocah berusia 15 tahun tertangkap mencuri roti di sebuah toko di Amerika Serikat
SURAT ALI MOCHTAR NGABALIN MINTA SUMBANGAN RP800 JUTA KE WALI KOTA CIREBON,Tenaga Ahli Utama Kantor Staf Presiden Ali Mochtar Ngabalin meminta sumbangan Rp800 juta kepada Wali Kota Cirebon
Hukuman Masuk Peti Mati Karena Tidak Pakai Masker,Beredar pesan berantai di WhatsApp berupa foto sekumpulan orang lengkap menggunakan APD dan peti mati dengan narasi yang menyebutkan sanksi tidak mengenakan masker akan dihukum selama lima menit di dalam peti mati di jalan Fatmawati
LRT DI INDONESIA LEBIH MAHAL DARI NEGARA LAIN,"apakah benar pembangunan LRT di Indonesia lebih mahal dari Negara lain ? setelah tim jabar saber hoaks melakukan penelusuran, berita tersebut merupakan Disinformasi"
Kantor Presiden Bank Indonesia di Kesultanan Buton," Rajawali Blok B2 Nomor 10 Baubau, DKI Bau-Bau ( Kesultanan Buton ), Indonesia"
Video Seorang Pemuda Pingsan Setelah Divaksin di NTB,Berikut hasil penelusuran klaim video seorang pingsan setelah divaksin di NTB
Video Seorang Pemuda Pingsan Setelah Divaksin di NTB,"Video yang diklaim seorang pingsan setelah divaksin di NTB diunggah akun Facebook Jibril Tepi Barat, pada 17 Januari 2020"
Subsidi biaya komunikasi pemerintah Telkom Indonesia,"Narasi:Subsidi Biaya Komunikasi Pemerintah Telkom Indonesia!Melalui kuesioner, Anda akan memiliki kesempatan untuk mendapatkan 2000000 Rupiah"
VIDEO WARGA KELUYURAN DI ATAS JAM 2 SIANG DIANCAM PUKUL ROTAN SAAT PENERAPAN PSBB…,[FALSE CONTEXT]Beredar video sosialisasi pihak kepolisian mengingatkan warga agar tidak beraktivitas di luar rumah diatas pukul 14
POSTER HABIB RIZIEQ TARIK DUKUNGAN KE PRABOWO-SANDI, Dalam poster itu terpampang foto Rizieq dan bertulisan yang diawali kalimat tagar #SatuKomandoHRS
BROADCAST SMS #GEJAYANCARIRECEHAN,"Pesan singkat yang dikirimkan ke provider Telkomsel itu berbunyi, Thanks to Mas Riko Tude, yang sudah menaikan level kita menjadi ajang #gejayancarirecehan"
Mahasiswa UINSU meninggal dunia saat melaksanakan demo di kota medan,"=============================================Kategori : Konten yang Menyesatkan=============================================Beredar isu yang menyatakan adanya mahasiswa dari Universitas Islam Negeri Sumatera Utara yang meninggal saat melaksanakan aksi demo di kota Medan, Selasa 24 Agustus 2019"
Video “Tanah abang penuh bray”,com/jr_kw19) membagikan sebuah postingan dengan Narasi :“Tanah abang penuh bray 
"Joni Mitchell, Paul McCartney, Willie Nelson, Bruce Springsteen, Barbra Streisand, Queen, The Rolling Stones, Dave Grohl dan Pearl Jam Menarik Lagu-Lagunya dari Spotify","Akun Twitter @fortylittleking (Goth Brooks) menyebarluaskan informasi bahwa kesembilan nama yang disebutkan dalam cuitannya telah menghapus musik mereka dari Spotify, sebagai bentuk dukungan untuk Neil Young"
Fanpage Facebook Bantuan Samsung Pendidikan Adakan Program Bantuan Pendidikan,"Pada unggahan tersebut, disebutkan bahwa Samsung Indonesia mengadakan bantuan pendidikan yang ditujukan kepada siswa/siswi yang kurang mampu untuk pembelajaran secara online akibat pandemi Covid-19"
Polisi Membubarkan Massa Aksi Bela Palestina di Solo dengan Tembakan, Gibran haramkan aksi demo apapun di Solo
Paket dari China Berisikan Narkoba,Beredar postingan dari akun Facebook Aman Libera berisikan foto sebuah paket dengan klaim bahwa paket COD dari China berisikan narkoba
“BELUM WAKTUNYA SURAT SUARA PENCOBLOSAN SUDAH BERTEBARAN”,“HEBAT KECURANGAN KPU DAN REZIM PKI JOKOWI INI…BELUM WAKTUNYA SURAT SUARA PENCOBLOSAN SUDAH BERTEBARAN DAN DI MILIKI TKI DAN WARGA…SURAT SUARAPUN SUDAH SAMPAI KE TAIWAN DAN HONGKONG …
“negara SOMALIA pernah mencetak bentuk Mata uang Koin bergambar Wajah Pendiri NU Kyai Haji Hasyim Asyari”," Negara ini berbatasan dengan Djibouti di barat laut, Kenya di barat daya, Teluk Aden dan Yaman di utara, Samudra Hindia di sebelah timur, dan Ethiopia di sebelah barat"
Skema Kewaspadaan Umat : Ahok Diangkat Menjadi Wakil Presiden Lalu Menjadi Presiden., Narasi postingan :“Skema kewaspadaan umat
Gambar Kebakaran Hutan Turki Tahun 2021, Selain itu disertakan juga gabungan 6 foto yang diklaim sebagai foto kebakaran hutan di Turki
HUBUNGAN LABORATORIUM DI WUHAN DENGAN PRODUSEN VAKSIN CORONA,"HUBUNGAN LABORATORIUM DI WUHAN DENGAN PRODUSEN VAKSIN CORONASebuah unggahan di Facebook mengklaim Laboratorium Wuhan, China, berkaitan dengan sejumlah individu dan perusahaan farmasi yang terlibat dalam penelitian dan pembuatan vaksin corona"
MUJAHIDIN MALUKU DAN SUKU BADUY KE JAKARTA UNTUK BERUNJUK RASA KE KPU,Beberapa akun media sosial mengupload gambar yang menjelaskan Maluku dan Suku Baduy ke Jakarta untuk berunjuk rasa ke KPU
BAHAN KIMIA DARI CINA DI CAMPUR AIR BERUBAH SEPERTI SUSU BEREDAR DI PASAR, Bahan kimia ini bisa mengeluarkan aroma dan rasa susu karena itu kepada masyarakat semua harus waspada dan hati-hati
HUJAN BATU SEPERTI SERPIHAN METEOR MENUJU BUMI DI PURWAKARTA," Katanya, batu-batu tersebut adalah serpihan meteor yang menuju bumi"
Foto “Jokowi: DIA SIAPA SIH? APAPUN YANG SAYA LAKUKAN PASTI SALAH DIMATA DIA”,Akun Facebook Vancen Angel membagikan foto Presiden Joko Widodo dan Politikus Fadli Zon dengan teks dialog di dalamnya bertuliskan “DIA SIAPA SIH? APAPUN YANG SAYA LAKUKAN PASTI SALAH DIMATA DIA
Video “Banten Dilanda Hujan Angin Kencang”,Beredar sebuah video melalui akun Youtube Alex xa Gokil yang menunjukkan terdapat peristiwa hujan angin kencang
Pernyataan Putin Mengirimkan Teroris Ke Tuhan,“Mema’afkan teroris itu urusan Tuhan
Sopir Ambulan Mendapat Wangsit dari Jenazah Eril,“Sopir Ambulan yang Bernama Kang Asep Dapat Wangsit dari Eril Untuk Katakan Hal Ini”
VIDEO OBAT KAPSUL BERISI PAKU-PAKU KECIL,adegan seorang pria tengah membuka satu butir obat kapsul yang berisi enam biji paku-paku kecil
“kuburan massal buat korban #viruscorona di ITALIA”,"“kuburan massal buat korban #viruscorona di ITALIA sungguh sangat mengerikansehari 500-800 orang yang meninggal karena viruscorona,tidak mungkin di makamkan 1-1 Harus semua secara massal#kampungJakartatanggapCorona#dirumahaja”"
Foto Sirkuit Mandalika NTB Siap digunakan pada Tahun 2021,"Beredar sebuah foto dari akun Facebook Martir Al-Mahdi yang mengambarkan sirkuit yang disebut sirkuit Mandalika, NTB dengan narasi klaim bahwa sirkuit Mandalika di NTB siap digunakan pada tahun 2021"
BEREDAR NOMOR WHATSAPP MENGATASNAMAKAN WALI KOTA TASIKMALAYA,akun WhatsApp yang mengatasnamakan Penjabat (Pj) Wali Kota Tasikmalaya Cheka Virgowansyah
Gubernur Anies Baswedan Bangun Bandara JB Soedirman di Purbalingga,"Selain Ngecat Genteng Rumah Warga,Diam² Anies Bangun Bandara di PurwokertoBong"
FOTO AHOK PAKAI SERAGAM PETUGAS SPBU PERTAMINA," Terlihat, Ahok memakai seragam petugas Stasiun Pengisian Bahan Bakar (SPBU) berwarna merah"
Gunung Welirang Jawa Timur Erupsi,Channel DI SEKITAR KITA lantas memberikan judul dengan klaim bahwa kejadian tersebut adalah erupsi Gunung Welirang
"“Habis shalat idul adha kemarin, Dua Sejoli Lakukan Hal Tak Senonoh Di Masjid”",Beredar sebuah artikel yang mengklaim bahwa terdapat pasangan yang melakukan hal tidak senonoh di masjid setelah shalat Iduladha
"Foto “Lagi Curhat Sihh, Tapi Gak Kedengaran Ngmong Apa”", Unggahan itu disertai narasi berikut: “Lagi Curhat Sihh
Wuhan: Ribuan Nyamuk yang diinokulasi Viagra Lepas dari Laboratorium dengan Keamanan Tinggi,Wuhan: Thousands of mosquitoes inoculated with Viagra escape from high-security laboratory”Terjemahan:“Satu lagi kejutan dari China
LAPORAN AKUN PENIPUAN BERKEDOK SYARIAH,Beredar di instagram akun-akun yang mengatasnamakan Pegadaian atau Pegadaia Syariah yang menjual barang-barang branded
Video “Donald Trump Ke WC Lupa Matikan Mic”,Beredar melalui Whatsapp video seseorang yang tengah memimpin rapat lalu meninggalkan ruangan untuk ke toilet lupa mematikan mikrofonnya
VAKSIN COVID 19 MENGANDUNG PERANGKAT YANG BISA MENYALAKAN LAMPU,VAKSIN COVID 19 MENGANDUNG PERANGKAT YANG BISA MENYALAKAN LAMPUBeredar sejumlah postingan Facebook mengeklaim vaksin COVID-19 mengandung perangkat elektronik yang bisa menyalakan bola lampu
RUU HIP AKAN MERUBAH SILA PERTAMA MENJADI KETUHANAN YANG BERKEBUDAYAAN,"sila pertama Pancasila diubah dari ""Ketuhanan yang Maha Esa"" menjadi ""Ketuhanan yang Berkebudayaan"""
Meninggalnya Mantan Ketua KPU Husni Kamil Terkait Pilpres 2014?,Akun tersebut membagikan tangkapan layar berita di sebuah media yang menduga Husni Kamil meninggal karena diracun
"Setelah Divaksin, Tubuh Punya Daya Magnetis dan Dapat Dikoneksikan ke Bluetooth"," Tidak hanya itu, ia juga mengklaim ayah dan ibunya bisa tersambung ke bluetooth setelah disuntik vaksin"
Magnet Bisa Menempel pada Lengan Orang yang Sudah Divaksin Covid-19, SAYA TAHU MAGNET INI SELALU TERLAMPIR PADA KPD BESI LOGAM DAN BAJA 
SOL SEPATU MERK MIZUNO MEMILIKI LAFADZ ALLAH, Sepatu tersebut juga memiliki logo sama seperti sebuah apparel olahraga Mizuno yang berasal dari Jepang
TKN ANCAM POLISIKAN 223 ORANG TIMNYA DI DAERAH KARENA TILEP TRANSPORT KAMPANYE,TKN ANCAM POLISIKAN 223 ORANG TIMNYA DI DAERAH KARENA TILEP TRANSPORT KAMPANYE
“Gubernur SUMUT instruksikan Seluruh MASJID buka pintu selapang lapangnya untuk orang ibadah”,chilelowditzhuqae) mengunggah foto Gubernur Sumatera Utara Edy Rahmayadi dengan narasi sebagai berikut:“Gubernur SUMUT instruksikan“Seluruh MASJID buka pintu selapang lapangnya untuk orang ibadah…jangan kosongkan masjid
VIDEO SERANGAN RUDAL SEBELUM LEDAKAN DI BEIRUT LEBANON (VERSI 2), Rekaman itu menunjukkan ada sebuah rudal yang menghantam sebelum ledakan Lebanon terjadi
Foto “Banyak orang berdesak-desakan dan terdesak untuk bisa membeli AC murah di hari pembukaan chapter tersebut”,com/100093070087033) pada 24 Mei 2023 mengunggah beberapa foto yang diantaranya menampilkan Chairul Tanjung yang sedang meresmikan sesuatu dan foto orang yang pingsan dengan narasi sebagai berikut:“PENGKONDISIAN BAGI ORANG MISKIN… Banyak orang berdesak-desakan dan terdesak untuk bisa membeli AC murah di hari pembukaan chapter tersebut
Gambar Danau Berbentuk Hati di Zimbabwe,"This pond named “God’s Hand” is found in Buchwa, Mberengwa District, Midlands province"
Foto Rumah Abad Pertengahan di Perancis yang Dibangun Tahun 1509," Wow!”“Dibangun tahun 1509, rumah abad pertengahan yang berlokasi di Desa Argentan, Perancis, telah berdiri lebih dari 500 tahun"
Benarkah Maher Zein dukung Prabowo-Sandiaga?," Ia mengunggah foto Maher Zein bersama Emre Mo?ulkoç, pendiri studio musik Emrec"
"Elon Musk Luncurkan Testla Smartphone Keluaran Tesla, Inc."," Menurut video, ponsel Tesla ini dapat dihubungkan dengan Starlink, antarmuka otak-komputer dan fungsi lainnya, mendukung pengisian daya surya, dan memiliki fungsi seperti sistem penambangan Marscoin, fotografi kecepatan tinggi, sensor sidik jari ultrasonik, dan kendali jarak jauh kendaraan"
Alfamart Beri Hadiah 100 Kemasan Minyak Goreng 1kg di Ultah yang ke-22,Akun Facebook bernama Alfamart Fans mengunggah beberapa foto disertai narasi yang berisikan informasi bahwa pada tanggal 28 Februari 2022 tepatnya pada ulang tahun ke 22 Alfamart membagikan hadiah berupa bucket hadiah berisi 100 kemasan minyak goreng 1kg untuk dua orang pemenang
MENGONSUMSI AIR REBUSAN GENJER DAPAT MENGOBATI DIABETES, Unggahan tersebut bertuliskan tata cara membuat ramuan genjer yang diklaim dapat menyembuhkan diabetes
Video Bill Gates Rapat dengan CIA Mengenai Vaksin Pada Tahun 2005,“Everyone needs to listen to this!Bill Gates briefing the CIA back in 2005 on how he has created a plan to suppress certain genes in humans by way of vaccines
Meletakkan Bawang Putih Di Telinga Bisa Menyembuhkan Sakit Kepala Dan Sakit Telinga,Sifat anti-inflamasinya bisa bekerja untuk mengurangi pembengkakan dan denyutan yang menyertai sakit telinga
TAPE SINGKONG OBAT AMBEIEN ATAU WASIR,"com kalau Tape Singkong mampu mengobati Ambeien atau Wasir, setelah tim JSH melakukan penelusuran kabar tersebut tidak benar"
AKUN TWITTER MENGATASNAMAKAN DANA INDONESIA," Dalam tangkapan layar yang beredar, akun tersebut mencatut nama dan logo Dana Indonesia"
Video Grace Natalie Ajak Warga Makan Babi Sama-sama," Ayo, Kita makan -bakmi- (bagian ini diklaim sebagai ‘babi’ ) sama-sama, pilih mau yang mana"
Dua Mumi Alien Ditemukan di Mesir," Lanjutan klaim dikatakan, kedua alien tersebut dulunya dijadikan penasihan Fir'aun Osirunet"
PEMADAMAN LISTRIK DI BEKASI PADA 24-25 AGUSTUS, Alasan pemadaman listrik ini karena ada pengerjaan proyek LRT di KM 18 Tol Jakarta Cikampek
Hoaks Surat Pemanggilan Seleksi Pegawai Pertamina,"Dalam lembar tersebut berisi pemberitahuan bahwa seorang yang namanya tercantum dalam surat tersebut lolos untuk melanjutkan seleksi pegawai Pertamina tahap berikutnya berupa tes wawancara, dengan membawa surat pemanggilan tersebut dan dokumen lain yang dibutuhkan seperti KTP atau SIM"
SIMBOL LEVIATHAN CROSS BUKTI BAHWA BISKUIT OREO MERUPAKAN MAKANAN SETAN,"Hal ini digunakan sebagai bukti dalam menyimpulkan bahwa Oreo adalah makanan dari makhluk setan, yaitu monster Leviathan"
Foto “Ribuan orang mengantri untuk membeli jam tangan pintar yang didatangkan dari Jepang ini.”, Ribuan orang mengantri untuk membeli jam tangan pintar yang didatangkan dari Jepang ini
Cawabup OKU Timur Menawarkan Kredit Mobil Melalui Whatsapp,Sebuah percakapan via Whatsapp Calon Wakil Bupati Kabupaten OKU Timur M
REKAMAN ANIES DIMARAHIN SURYA PALOH,rekaman suara bernarasi Ketua Umum NasDem Surya Paloh sedang memarahi capres nomor urut 1 Anies Baswedan viral di media sosial
“Pangeran Uni Emirat Arab Dikabarkan Positif Virus Corona”, Sejumlah pemberitaan lokal UEA mengungkapkan bahwa Putra Mahkota Abu Dhabi tersebut didiagnosis positif virus corona dan saat ini tengah dikarantina
Video Obama Merilis Lukisan Prabowo,"Beredar sebuah cuplikan video yang berisi mantan presiden Amerika Serikat Obama membuka kain hitam yang berisi lukisan Prabowo Subianto, yang sebenarnya terjadi adalah video tersebut merupakan hasil suntingan dari video saat Obama dan istrinya Michelle merilis lukisan potret diri Obama dan Istrinya"
Bahaya Bertelepon di Dapur Saat Kompor Menyala,Beredar melalui pesan berantai Whatsapp sebuah informasi mengenai bahaya bertelepon di dapur saat kompor atau microwave dan pemanas induksi menyala
Video “Pembukaan Gereja Katolik di Arab dihadiri Raja Salman”,agrifinashtg) mengunggah sebuah video dengan narasi:“Pembukaan Gereja Katolik di Arab dihadiri Raja Salman
Akun Whatsapp Bupati Malang Sanusi “0812-3135-3448”,Beredar akun Whatsapp Bupati Malang Abah Sanusi menawarkan bantuan
Anies Baswedan Dapat Nama Baptis Yohanes dari Gereja,"“Kelompok garis keras frustasi gegara@aniesbaswedan mantan Gubernur terburuk sepanjang sejarah DKI diberi nama baptis, Yohanes"
GRAFIK KADAR ANTIBODI SETELAH DIVAKSIN COVID-19 MENURUN, Dalam tangkapan layar tersebut terdapat grafik yang diklaim sebagai informasi antibodi seseorang setelah menerima vaksin Covid-19
ANIES DINOBATKAN MENJADI GUBERNUR TERBAIK DI DUNIA,Gubernur DKI Jakarta Anies Baswedan dinobatkan sebagai gubernur terbaik di dunia
PRABOWO USIA 12 TAHUN KULIAH DI AMERIKA SERIKAT DENGAN BEASISWA,beredar informasi di Watshapp group mengenai Prabowo Usia 12 Tahun Kuliah di Amerika Serikat dengan Beasiswa
Video Penampakan Kuntilanak di Rumah Sakit Galang Batam," Berikut kutipan narasinya:“Selamat menonton video ini,video ini diambil dari salah satu cctv yang ada dirumah sakit galang batam, dimana rumah sakit ini dibuat pihak pemerintah batam untuk mengisolasi atau mnyembuhkan saudra2 kita yg terinfeksi covid-19"
Koran dari China yang Memuat Foto Anak di China yang Ber-KTP Bandung,"Dalam status Facebooknya, Suherman menuliskan status yang berisi “Di Cina anak-anak kecil ber KTP Bandung"
Mengonsumsi Kopi Pahit Dapat Mengatasi Varian Omicron,Akun Facebook bernama Fani Ira mengunggah postingan berupa narasi informasi yang menyebutkan bahwa meminum 2-3 gelas air putih hangat dan setelah 5 menit kemudian minum 1 cangkir kopi panas tanpa gula dapat menyembuhkan varian Covid-19 Omicron
"VIRUS CORONA MENYEBAR MELALUI SERVER, DIKELUARKAN MELALUI SPEAKER HAPE XIAOMI","  Berdasarkan laporan aduan yang diterima JSH, beredar konten di media sosial yang mengklaim bahwa virus corona dapat disebarkan melalui handphone Xiaomi di tengah kekhawatiran virus corona Wuhan bagi masyarakat secara global"
TIBA-TIBA POHON BESAR TUMBUH DI PARKIRAN MOBIL,di Prancis telah terjadi  kejadian pohon tumbuh di parkiran mobil dan menembus mobil yang sedang terparkir
PESAN MENGATASNAMAKAN DITJEN PAJAK UNTUK MELENGKAPI DATA DIRI, Pada pesan tersebut disebutkan bahwa penerima pesan mendapatkan dokumen pajak berupa dokumen softcopy
NOMOR WHATSAPP MENGATASNAMAKAN TELKOMSEL,nomor WhatsApp yang mengatasnamakanTelkomsel
Video Ledakan Kilang Pertamina di Indramayu,"“DETIK DETIK KILANG PERTAMINA MELEDAK DI INDRAMAYU, JAWA BARAT"
Mendeteksi Stroke dengan Menggerakkan Jari Tangan,"""Untuk mengetahui stroke atau tidak Satukan telunjuk dengan jari tengah, kemudian jari manis dengan ibu jari"
