sent0,sent1,hard_neg
Benarkah selama puluhan tahun banyak perusahaan besar meninggalkan limbah dan tidak membayar pajak?, KesimpulanPernyataan Prabowo bahwa masih banyak perusahaan besar yang tidak membayar pajak adalah benar,"Gambar Tangkapan Layar Artikel Fajar.co.id “8 Parpol Nyatakan Tolak system Pemilu Proporsional Tertutup Hasti Kristiyanto Bilang ; Jangan sekali kali intervensi MK Ketua MK itu Ipar Pak Jokowi, kalian bosa sengsara apapun kami bisa lakukan”"
Benarkah pernyataan Calon Presiden Joko Widodo bahwa Indonesia kini berhasil menduduki tujuan wisata halal nomor satu di dunia?," ""Negara OKI lainnya seperti Turki, Arab Saudi, Maroko, Oman, dan Brunei Darussalam tetap populer di kalangan wisatawan muslim",Foto Mantan Manajer yang Mualaf dan Berjualan Es Cincau
Klaim Prabowo Terkait Operasional Pelabuhan Indonesia Diberikan Pihak Asing,"  Namun demikian, kepemilikan aset pelabuhan dan bandara yang diserahkan ke swasta tetap di tangan pemerintah","“Gedung-Gedung pencakar langit menembus awan Dubai, UEA.”"
Dinkes Aceh Membantah Atas Isu Pelajar Lumpuh Setelah Vaksin MR," com, Kepala Dinas Kesehatan Aceh, dr Hanif, menegaskan bahwa tidak dapat bergeraknya kaki Helmi bukan disebabkan akibat dari imunisasi MR","""Gedung Kementrian Pun Akan Dijual"""
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker,"  Itu sebabnya, BPJS pun mengeluarkan Trastuzumab dari daftar obat yang mendapat jaminan","“Ini sumbernya Din Syamsudin, Presiden Joko Widodo menolak menemui ulama dari Uzbekistan dan Xinjiang, Cina”"
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien,"  Namun,Januari lalu sempat beredar kabar ada dua laporan Bank Dunia yang mengkritik pembangunan Jokowi karena prosesnya yang kurang baik karena masalah perencanaan",NU Cabang Nasrani Gelar Lomba Natal 2021
Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya,"Ketua Umum Partai Emak-emak Pendukung Prabowo Subianto-Sandiaga Uno (PEPES), Wulan membantah tiga perempuan yang ditangkap di Karawang, Jawa Barat adalah anggotanya",“Menhan: Wajib Militer Ampuh Menangkal Bangkitnya PKI”
"""Pare Tidak Serta-merta Bisa Menyembuhkan Kanker""",  Mengonsumsi air rebusan pare tentu tidak akan cukup untuk menyembuhkan kanker,Akun Twitter Tokopedia “@TokopediaCere”
Klarifikasi Ponpes Darul Muwahiddin Atas Penolakan Kedatangan Ma’aruf Amin,  Insya Allah Darul Muwahhidin tidak terkait dengan kegiatan politik praktis,Video Tempat Jatuhnya Pesawat Boeing 737-800 Milik China Eastern Airlines
Klarifikasi Kemenkes Terkait Tuduhan Penggunaan Foto Tanpa Izin Untuk Bungkus Rokok,"  Menanggapi hal tersebut, Kementerian Kesehatan (Kemenkes) sebagai pihak yang mengedarkan angkat bicara",Serangga yang Dapat Menyebabkan Tubuh Berlubang dan Sakit Luar Biasa Ketika Disentuh
Mahasiswa UnSri meninggal dunia setelah terjatuh dari lantai tiga apartemen Unsri, Seketika itu Mahasiswa Semester 1 Fakultas MIPA Unsri Jurusan Kelautan itu pun terjatuh hingga ke tanah,Krisdayanti Histeris Raul Lemos Menikah Lagi
"Rohani Sebut Pertumbuhan Ekonomi SBT Paling Rendah di Maluku, Akademisi Buka Data 2015-2019","  “Kalau sebelumnya itu pertumbuhannya (di SBT) tidak tinggi tetapi lebih cepat dari kabupaten lain yang berdiri (pemekaran) bersamaan kabupaten SBT, semisal Kabupaten Aru,” ujar Leasiwal",Facebook Tutup Akun Muhammadiyah
Klarifikasi Tokopedia Terkait Isu Kebocoran Data," Dengan beredarnya data penjual itu, kata Nuraini, Tokopedia untuk sementara waktu menonaktifkan informasi publik tersebut",“Gempa n Tsunami di Malang Barusan”
"Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?","Menurut dokumen yang terlampir dalam ringkasan APBD Sleman 2020, yang bisa diakses di situs web Badan Keuangan dan Aset Daerah (BKAD) Kabupaten Sleman, anggaran belanja daerah sebesar Rp2",WhatsApp Dikenai Biaya setelah Diakuisisi oleh Facebook
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker," Lebih jauh, Direktur Jaminan Pelayanan Kesehatan BPJS Maya Amiarny Rusady mengatakan jaminan Trastuzumab sebenarnya masih diberikan, tetapi hanya untuk pasien anker stadium awal",Akun WhatsApp Wakil Bupati Bantul dengan Nomor “081213408053” Memberikan Donasi
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien,"Pada panggung debat capres kedua, Prabowo mengkritik pembangunan yang dibangun di era Jokowi",Video “Penyiksaan oleh komunis terhadap muslim Uighur”
"Lambangnya Dicatut Sekber Gerindra-PKS, PBB Beri Klarifikasi"," co, Ketua Bidang Pemenangan PBB Sukmo Harsono membantah partainya terlibat dalam peresmian Sekber tersebut",”Seorang Pasien Dalam Pengawasan Covid-19 (PDP) Mengamuk di Pintu Rumah sakit Pamekasan Madura”
Benarkah selama puluhan tahun banyak perusahaan besar meninggalkan limbah dan tidak membayar pajak?,"  Padahal, ada potensi penerimaan pajak yang mencapai Rp 40 triliun",Tukul Arwana Meninggal Dunia
Video Viral Polisi Menendang Muka Ibu-Ibu, Kapolda Kepulauan Bangka Belitung Brigadir Jenderal (Pol) Syaiful Zachri langsung bersikap terhadap beredarnya video seorang oknum perwira polisi yang melakukan kekerasan terhadap seorang wanita terduga kasus pencurian,Link BBM Subsidi Pertamina
"Pilkada Sleman, Sri: Merapi Siaga, Warga Rentan Sudah Diungsikan?","  Kalau dari sisi lansia sebenarnya di atas ada 95 orang, tapi belum semua yang turun,"" ujar Suparmono kepada awak media di barak pengungsian Glagaharjo, Kamis (12/11), seperti diberitakan SuaraJogja",Mahasiswa UNY Positif Corona
Klaim Prabowo Terkait Operasional Pelabuhan Indonesia Diberikan Pihak Asing,Menteri Perhubungan Budi Karya Sumadi tak memungkiri keinginan pemerintah agar bandara dan pelabuhan dikelola oleh pihak asing,Istri Sah Labrak Wanita Simpanan Dirut Garuda
Penjelasan MUI terkait Pernyataan Tengku Zulkarnain yang Sebut MUI akan Ajukan Hukuman Potong Tangan Bagi Koruptor,  Ia juga mengimbau masyarakat tidak terpancing dengan beragam pernyataan terkait wacana potong tangan,Nama Bayi Unik “CRAZY KILLERS”
“Demokrat: Iklan Jokowi di Bioskop Mengganggu Hak Konsumen”,"  Menurutnya, beriklan di bioskop akan mengganggu hak masyarakat yang tidak suka dengan Jokowi",Garuda Indonesia Bagikan Hadiah Gratis dengan Mengisi Link Survei
Klaim Prabowo Terkait Operasional Pelabuhan Indonesia Diberikan Pihak Asing,"  Adapun 20 pelabuhan yang akan diserahkan diantaranya, Pelabuhan Probolinggo, Sintete, Bima, Waingapu, Tanjung Wangi, Badas, Kalabahi, Tenau Kupang, Ende, Lembar, Manokwari, Bitung, Ternate, Pantoloan, Parepare, Kendari, Biak, Fakfak, Sorong, dan Merauke",“minuman beralkohol bisa mengurangi risiko infeksi dari novel coronavirus; COVID-19”
Benarkah pernyataan Calon Presiden Joko Widodo bahwa Indonesia kini berhasil menduduki tujuan wisata halal nomor satu di dunia?, Pasar wisata halal merupakan salah satu sektor pariwisata dengan tingkat pertumbuhan tercepat di seluruh dunia,“INILAH LAMBANG PENGIKUT DAN PENGANUT PERJANJIAN DENGAN DAJJAL”
Klarifikasi Kemenag Terkait Kabar Pemecatan Dosen Hayati,  “Hayati Syafri diberhentikan sebagai ASN karena melanggar disiplin pegawai,Grup WhatsApp “To Firdaus We Ascend” atau “Ke Syurga Kita Pergi” Milik ISIS
Video Pemotor yang Melintas di JLNT Casablanca Tak Ditilang Polisi Karena Punya Black Card,"  Alhasil, polisi yang berjaga di ujung JLNT tak menilang pemotor tersebut",Video Presiden Jokowi Terbitkan Perpres dan Perppu Bubarkan Ponpes Al Zaytun
Jokowi Sebut 488 Kapal Ilegal Telah Ditenggelamkan,"Data Kementerian Kelautan dan Perikanan (KKP), jumlah kapal pelaku illegal fishing yang telah ditenggelamkan sejak Oktober 2014 adalah 488 kapal, dengan rincian Vietnam 276 kapal, Filipina 90 kapal, Thailand 50 kapal, Malaysia 41 kapal, Indonesia 26 kapal, Papua Nugini 2 kapal, Tiongkok 1 kapal, Belize 1 kapal dan tanpa negara 1 kapal",“Ambyaar Pemilik 201kg Sabu Dipetamburan Ternyata Anggota FPI”
“Indochina” di Foto Kontainer “Southern Hauliers”,Foto yang sama di 2016 lalu dipelintir menjadi “Negara Indonesia-China”,Gambar Presiden Jokowi “Kalian Siap saya pimpin Tiga Periode”
Penjelasan Mosaik Jalan di Depan Balaikota Surakarta Solo yang Disebut Mirip Salib,Foto dan video yang menampilkan mosaik Jalan Jenderal Sudirman depan Balai Kota Surakarta di media sosial,“Keluarkan nasi dari rice cooker jika sudah matang. Kalau lebih dari 12 jam menjadi pemicu diabetes”
"Jokowi : ""Indonesia adalah negara penduduk muslim terbesar""",  Sementara data statistik populasi Muslim telah tumbuh signifikan dibanding agama-agama lainnya di dunia,Lelang Online PT Pegadaian
Klarifikasi Tokopedia Terkait Isu Kebocoran Data,"  “Data yang ditampilkan di situs terkait adalah data penjual yang memang mempublikasikan email, nomor ponsel, dan alamat di laman tokonya untuk lebih mudah berkomunikasi dengan calon pembeli,” kata Nuraini",Video “Tentara tidak tahu adat. Arogan sekali menyerang sopir truk”
Mahasiswa UnSri meninggal dunia setelah terjatuh dari lantai tiga apartemen Unsri, Irfan yang merupakan siswa SMA Titian Teras angkatan 2016 tersebut terjatuh dari lantai tiga apartemen Unsri tersebut meninggal sekitar pukul 19,Video Kemunculan Burung Garuda di Jawa Timur
Pesawat Citilink QG 801 Rute Semarang-Surabaya Tidak Hilang,Informasi yang menyebutkan pesawat Citilink QG 801 rute Semarang-Surabaya hilang dari radar tidak benar,"Jokowi Marah, Ternyata Semua Anggota PDIP Yang Korupsi 349 Triliun"
FPI Tidak Menyebarkan Spanduk Habib Rizieq Dukung Khilafah,"  Selain itu, pada spanduk, gelar HRS disebutkan sebagai Ketua Umum FPI",“Saran Jack Ma semoga kita bisa melewati tahun 2020”
"Klarifikasi LIPI Terkait Isu Pemusnahan Buku, Tesis, dan Disertasi","Lembaga Ilmu Pengetahuan Indonesia (LIPI) melalui Pusat Dokumentasi dan Data Ilmiah (PDDI) memberikan klarifikasi terkait isu pemusnahan buku, tesis, dan disertasi",Pesan Panggilan Seleksi Karyawan PT Waskita Karya (Persero) Tbk
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker," Sebab, Dewan Pertimbangan Klinis telah memutuskan bahwa Trastuzumab atau Herceptin pada pasien kanker stadium metastasis tidaklah efektif",MPR dan DPR Resmi Deklarasikan Anies – AHY Gantikan Jokowi
Video Viral Polisi Menendang Muka Ibu-Ibu,"Setelah ditelusuri, ternyata ibu itu merupakan pelaku pencurian",Menpora Imam Nahrawi Mundur Dari Jabatannya
Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO,Sempat santer isu Pemerintah Provinsi (Pemprov) DKI Jakarta menganggarkan Rp56 Miliar untuk pembangunan tiga Jembatan Penyeberangan Orang (JPO),“Pangeran Uni Emirat Arab Dikabarkan Positif Virus Corona”
"Penggalian Saluran Air di Penjaringan, Jakarta Utara Bukan Proyek Palyja"," com, Wakil Gubernur DKI Jakarta Sandiaga Uno menyatakan bahwa proyek galian yang menelan korban jiwa di Penjaringan bukan dikerjakan oleh Palyja",Orang yang Bergolongan Darah O Lebih Rentan Terinfeksi Virus Corona
Kantor Staf Kepresidenan Mengklarifikasi Bahwa Tidak Ada Dokumen Penting Negara yang Hilang Pada Kasus Pencurian Terhadap Stafnya,"Atas beredarnya isu adanya dokumen penting negara yang hilang saat terjadi pencurian terhadap Armedya Dewangga, Staf Ahli Muda Kedeputian III Bidang Kajian Pengelolaan dan Isu Ekonomi Strategis Kantor Staf Kepresiden (KSP), pihak KSP pun memberikan klarifikasi",Wendi Cagur Meninggal Dunia
Benarkah selama puluhan tahun banyak perusahaan besar meninggalkan limbah dan tidak membayar pajak?,  Perusahaan sawit dan kertas di Indonesia berhutang senilai USD 220 juta atau sekitar Rp,Gambar Majalah Tempo “Sugeng Suparwoto Bohir Anies”
Klarifikasi Tentang Isu Gunung Salak Erupsi/Meletus,"Atas isu Gunung Salak Erupsi/Meletus, Badan Nasional Penanggulangan Bencana (BNPB) memberikan klarifikasi",Caresse Crosby Penemu Bra di Perancis
Klarifikasi Temuan Tim Investigasi Unnes Terkait Dugaan Plagiarisme Rektor Unnes,"  Mungin Edi Wibowo mengatakan, dari hasil investigasi dan penelitian yang dilakukan, maka menyimpulkan jika Fathur tidak melakukan plagiasi terhadap skripsi Anif Rida, mahasiswa Unnes",“surat panggilan tes interview PT. Pertamina 25 September 2020”
Selebaran Poster Acara Penobatan Miss Waria Banten 2018," Pembatalan acara tersebut diketahui berdasarkan foto surat pernyataan pembatalan acara Miss Waria yang ditandatangani Camat Carita, Suntama dan panitia penyelenggara yang bernama Nurul",Akun Instagram Bank Jateng
"Jokowi : ""Indonesia adalah negara penduduk muslim terbesar""","  “Besar, bukan hanya karena jumlah penduduknya yang lebih dari 250 juta jiwa",Devils Tower di Wyoming Amerika Serikat Adalah Pohon Purba
Pertamina Bantah Mengurangi Kuota BBM Bersubsidi Di Wilayah Solo Raya dan DI Yogyakarta," info, Manajer Komunikasi dan CSR Pertamina MOR IV, Andar Titi Lestari membantah telah mengurangi kuota BBM bersubsidi di wilayah tersebut",Gambar Jokowi “INGAT YA !!! CIRI ORANG MUNAFIK ADA 3…”
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja," Menurut Sandiaga Uno, ini sebagai bukti bahwa masih banyak anak muda di Indonesia yang masih mau terjun dalam industri pangan, seperti Herman dan keluarganya",Video Rusia Mendukung Indonesia dalam Perang Menghadapi Australia
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien," ""Kami ingin memberikan klarifikasi bahwa laporan ini selesai ditulis pada tahun 2014 sebelum Presiden Jokowi dilantik, (dan) bertujuan untuk memberikan gambaran mengenai keadaan perencanaan dan pembiayaan infrastruktur pada saat itu,"" jelas pernyataan resmi Bank Dunia pada awal bulan lalu",Razia Anak Tidak Bermasker Akan Dikarantina
Berpose Foto Salam Dua Jari Memakai Rompi Bawaslu,"Sebuah foto 3 orang yang memakai rompi bawaslu berfoto dengan pose salam dua jari, tanda dukungan kepada paslon Prabowo – Sandi","Batu ini yang dipijak oleh Nabi untuk naik ke langit, batu ini menangis hingga sekarang batu ini terapung"
Pesawat Citilink QG 801 Rute Semarang-Surabaya Tidak Hilang,"  “Manajemen Citilink Indonesia memastikan keselamatan dan keamanan setiap penerbangan, dan hingga hari ini semua penerbangan berjalan secara normal,” ujar Ranty",Foto Ikan Hiu di Tiang Listrik Akibat Badai Laura
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien,"  Baginya, utang ini beresiko terhadap efisiensi infrastruktur yang sudah dibangun",Video Ledakan “Ukraina vs Rusia”
Benarkah pemerintahan Presiden Jokowi sudah memperkuat pertahanan dan keamanan di luar kawasan Pulau Jawa?,"  Setelah di Natuna, Indonesia membangun Satuan TNI Terintegrasi di Morotai, Biak",Informasi Razia Kendaraan di Cicurug
"""Bukan disebabkan vaksin, siswa MI di Palembang tewas karena radang otak""","""Tim dokter menemukan fakta bahwa korban menderita accute disseminated encephalomyelitis atau radang otak bersamaan dengan imunisasi",“Air yang menyambar petir”
"Rohani Sebut Pertumbuhan Ekonomi SBT Paling Rendah di Maluku, Akademisi Buka Data 2015-2019"," Jumlah penduduk miskin di Kabupaten SBT juga relatif naik, tahun 2017 26",Alfamart Menyumbangkan 6000 Kupon Untuk Membantu Melawan COVID-19
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker,  Deputi Direksi Bidang Pelayanan Peserta BPJS Kesehatan Arief Syaifuddin mengatakan lembaganya masih menanggung sebagian dari obat untuk penderita kanker payudara,Peserta Wawancara Kerja Antam Wajib Pesan Tiket Travel di PT. Golden Asia
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja,"Cawapres nomor urut 02 Sandiaga Uno berkampanye dan mengunjungi pengusaha beras bernama Rahman di Kabupaten Sindereng Rappang (Sidrap), Sulawesi Selatan",Varian Baru COVID-19 Bernama Delmicron
"Debat Pilkada Solo: Bajo Klaim Cagar Budaya Di Solo Banyak Yang Dijual, Ini Faktanya!"," com, total cagar budaya di Solo ada 172 bangunan yang telah ditetapkan oleh Dinas Tata Ruang Kota (DTRK) Solo",“Ambyaar Pemilik 201kg Sabu Dipetamburan Ternyata Anggota FPI”
Prabowo Sebut Pembangunan Era Jokowi Tak Efisien,  Prabowo memakai laporan Bank Dunia sebagai referensi dalam menyebut pembangunan Jokowi tidak efisien,“kesimpulan Rob Oswald: COVID 19 adalah khayalan dan fiktif”
Klarifikasi Video TKA China Mengukur Tanah,"Sebuah video yang memperlihatkan seorang warga negara asing (WNA) asal Tiongkok (China) tengah mengukur tanah di Jatimulya, Bekasi menjadi viral beberapa hari yang lalu",Dokter Italia Temukan Penyebab Covid-19 dari Bakteri Terpapar 5G
Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO,"  Kepala Dinas Bina Marga DKI Jakarta Yusmada Faizal menjelaskan, anggaran Rp56 miliar untuk pembangunan tiga JPO di Jalan Jenderal Sudirman-MH Thamrin belum merupakan angka final",Foto Pendaratan di Bulan dari Deep Web
Amien Rais menyebut 74 persen tanah di Indonesia dikuasai segelintir orang.,"  Menurut Drajad, rasio gini itu bisa diterjemahkan sebagai 1 persen penduduk Indonesia menguasai 74 persen lahan",Undertaker Mendukung Petani India
"Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?"," 139,85, setengah dari anggaran belanja daerah dalam APBD Sleman 2020",Video Jatuhnya Pesawat Sriwijaya Air SJ 182
"Jokowi : ""Indonesia adalah negara penduduk muslim terbesar""",  Sedangkan Nigeria berada di posisi lima besar,Razia Anak Tidak Bermasker Akan Dikarantina
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja, Rahman di mata Sandi adalah pengusaha muda yang memberikan inspirasi,"Foto “Barbershop dengan tukang cukur wanita di Jalan Pratu Rai Madra, Kabupaten Badung, Bali”"
Lahan Hutan Prabowo Ratusan Ribu Hektare,  PT Kiani Hutan Lestari (kehutanan & perkebunan)3,Ibu Iriana Dapat Kalung dari Raja Salman dan Diserahkan ke KPK
"Benarkah pernyataan Calon Presiden Joko Widodo bahwa Pemerintah Indonesia telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport?"," Pada saat penandatanganan HoA, semua pihak sepakat nilai saham divestasi PT Freeport Indonesia mencapai US$ 3,85 miliar",Subsidi Ulang Tahun ke-78 Saudia Airlines
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja," Ia mengatakan Sidrap memang salah satu daerah lumbung pangan, penghasil beras terbesar di Indonesia",Ternyata Biaya untuk Cuci Ginjal Kurang dari 10.000
Klarifikasi Tentang Isu Gunung Salak Erupsi/Meletus,  “Namun VAAC Darwin telah mengkoreksi hal itu bahwa tidak ada sebaran abu vulkanik dari daerah di sekitar Gunung Salak,Petir Menyambar Candi Borobudur
"Debat Pilkada Solo: Bajo Klaim Cagar Budaya Di Solo Banyak Yang Dijual, Ini Faktanya!"," ""Kami mengingatkan bahwa pagar yang mengelilingi bangunan eks RS Kadipolo, Solo, dan bangunan yang ada di dalamnya adalah cagar budaya yang dilindungi oleh UU No",Video “Raja Bahrain tiba di Dubai dengan pengawal robotnya”
Klarifikasi Tokopedia Terkait Isu Kebocoran Data, Ia juga menjelaskan bahwa data yang diklaim bocor itu sebenarnya memang data yang bisa diakses oleh siapapun,Video Penampakan Kuntilanak di Rumah Sakit Galang Batam
Benarkah pernyataan Calon Presiden Joko Widodo bahwa Indonesia kini berhasil menduduki tujuan wisata halal nomor satu di dunia?," ""Akhirnya penantian dalam 5 tahun, yang ditunggu-tunggu, Indonesia bisa menjadi peringkat pertama,"" katanya",Giveaway Soimah 1-5 juta
PAC PDIP Tenggilis Mejoyo Surabaya tangkap pelaku politik uang di Kendangsari," 40 WIB di rumah sebuah rumah di Jl Kendangsari GG IX Surabaya tersebut dipergoki oleh Ketua PAC PDI Perjuangan Tenggilis Mejoyo, Mardiono",Foto “kumpulan untuk mengakhiri COVID-19 di Cleveland hari ini #EndCOVID”
Jokowi: Kapal Nelayan di Bawah 10 GT Tidak Perlu Izin," Dijelaskan, untuk memperbaharui izin tidak membutuhkan waktu yang lama seperti pembuatan izin baru bagi kapal nelayan karena harus dilakukan proses verifikasi",Video Bocah Kritis Akibat Tersambar Petir Saat Main Handphone
Video Viral Polisi Menendang Muka Ibu-Ibu,  Tertangkap 3 orang yang terdiri dari dua ibu-ibu dan 1 anak berusia 14 tahun,Varian Baru COVID-19 Bernama Delmicron
FPI Tidak Menyebarkan Spanduk Habib Rizieq Dukung Khilafah," co, Novel Bamukmin, Anggota FPI, membantah pihaknya telah melakukan pemasangan spanduk tersebut",CEO Disney Ditangkap Karena Kasus Perdagangan Manusia
Klarifikasi Kemenkes Terkait Tuduhan Penggunaan Foto Tanpa Izin Untuk Bungkus Rokok,"Pria asal Kuningan, Dadang Mulya mengaku dirinya sebagai model dalam foto pria menggendong anak sambil merokok yang terpampang di bungkus rokok dan menyatakan bahwa penggunaan foto dirinya itu tidak berizin serta menuntut hak royalty",Hadiah IPhone 13 Pro Max dari PT Pos Indonesia
"Klarifikasi LIPI Terkait Isu Pemusnahan Buku, Tesis, dan Disertasi","  Pelaksana Tugas Kepala Pusat Dokumentasi dan Data Ilmiah (PDDI) LIPI, Hendro Subagyo mengatakan, pihaknya tengah melakukan digitalisasi terhadap koleksinnya",Prabowo Mengundurkan Diri dari Jabatannya
Klarifikasi Ridwan Kamil Terkait Foto 'Bowo',"Melalui akun instagramnya, akhirnya Ridwan Kamil memberikan klarifikasi sebagai berikut :  ""Buat yang suka marah-marah efek pilkada tanpa tabayun: Bowo Alpenleibe itu seleb tiktok yg jadi idola baru anak2, yg kebetulan minta 80k untuk bisa bertemu dan selfie, Bukan menyindir Bpk Prabowo Subianto yang sangat saya hormati","BERTAUBAT.! IBU NORMA RISMA TEBUS KESALAHAN, BONGKAR RAHASIA ROZY, AKHIRNYA ROZY RESMI DI PENJARA"
"Jokowi : ""Indonesia adalah negara penduduk muslim terbesar""","  Pew Research dalam laporannya memperkirakan pada 2050, India justru akan menjadi negara dengan penduduk atau populasi muslim terbesar dunia dengan jumlah 310,6 juta jiwa",Video Penampakan Kuntilanak di Rumah Sakit Galang Batam
"Surat Suara Ditemukan Sudah Tercoblos di TPS Malaka, Begini Faktanya"," “KPU sudah perintahkan untuk mengganti surat suara yang tercoblos itu,” ungkapnya saat dikonfirmasi, Rabu (9/12)",Foto Banser Tiba Di Papua
Rio Rizki Bukan Peraih Medali Emas Termuda Di ASIAN Games 2018," id, Rio mengatakan, dirinya kaget saat dirinya ditulis berusia 15 tahun oleh panitia dalam laman resmi ASIAN Games 2018",Bos Mayapada Jadi Pembina Brimob dan TNI
Susu Kental Manis Tidak Cocok untuk Anak," Sc mengatakan, SKM kerap digunakan sebagai pengganti susu biasa oleh masyarakat",“Kantor Bupati Jayawijaya Wamena di bakar habis oleh Warga Masyarakat Penolakan Otsus Jilid II”
