sent0,sent1,hard_neg
SURAT KEMENTERIAN KEUANGAN TENTANG HAL PERCEPATAN PENYUSUNAN PP PEMBERIAN THR TAHUN…,Terkait perihal kebenaran surat yang dibuat oleh Kementerian Keuangan tentang hal Percepatan Penyusunan PP Pemberian THR Tahun 2019 dan Gaji ke-13 untuk PNS,Asnawi Pindah ke MU dan Elkan Baggot ke Spurs Berkat Erick Thohir
Dusun Wotawati Jogja “Terlambat” terkena Sinar Matahari, Disebutkan bahwa Dusun yang bernama Wotawati itu terkena sinar Matahari sekitar pukul 08,"“seorang pria Baru pulang dari jepang menuju kronjo, membuang uang tabungan nya senilai 300 juta”"
Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya,"Juru bicara BPN, Ferdinand Hutahaean mengatakan para emak-emak itu tergabung dalam relawan Pepes",Hypnic Jerk Terjadi Karena Darah Dan Jantung Berhenti Dan Menyebabkan Kematian
PENERIMA VAKSIN YANG MENOLAK VAKSINASI COVID-19 DAPAT DIKENAKAN SANKSI PENUNDAAN…,"PENERIMA VAKSIN YANG MENOLAK VAKSINASI COVID-19 DAPAT DIKENAKAN SANKSI PENUNDAAN PEMBERIAN JAMINAN SOSIAL ATAU BANSOSBeredar kabar, penerima vaksin yang menolak vaksinasi Covid-19 dapat dikenakan sanksi berupa penundaan atau penghentian pemberian jaminan sosial atau bantuan sosial",“Corona Virus adalah BOHONG. bukan dari Virus tapi dari Bakteri. semua ini diketahui oleh negara Itali”
Sandiaga: Rahman Pengusaha Muda Asal Sidrap Mampu Ciptakan Lapangan Kerja,"Namun pertanyaan tersebut ditanggapi Cawapres nomor urut 02, Sandiaga Uno dengan menceritakan kisah Rahman pemuda millenial asal Sidrap yang menjadi pengusaha beras yang mampu menciptakan lapangan kerja bukan pencari kerja",Bantuan Pulsa 200 Ribu dan Kuota 75 Gb dari Kominfo
Bus Kecelakaan hingga Masuk Jurang di Tegal Jawa Tengah,"Beredar video yang memuat infromasi tentang bus pariwisata yang masuk ke jurang di Guci, Tegal, jawa Tengah oleh akun sukabumiupdate",MEMIJAT BAGIAN MUKA DAN TELINGA PADA ANAK DAPAT MENGATASI SPEECH DELAY
Guru di Bekasi Dipecat Lewat Pesan Grup Whatsapp Gara-Gara Beda Pilihan di Pilkada Jabar,Akun atas nama Andriyanto Putra Valora itu memosting kabar pemecatan istrinya sebagai guru di sekolah swasta,Hindari ! Produk Ini Bisa Menyebabkan Usus Bocor
Prabowo Sebut Kekayaan RI Banyak Berada di Luar Negeri, Kita akan menjaga pundi-pundi bangsa Indonesia supaya kekayaan kita tidak mengalir ke luar negeri,Tangkapan Layar Berita Detiknews “Pelaku Bom Bunuh Diri Makasar Pasangan LGBT Baru Menikah “
Cuti Bersama 28 dan 30,pemerintah telah menetapkan cuti bersama Idul Adha 2023 pada 28 dan 30 Juni 2023,Video Kapal Penyeberangan Gilimanuk-Ketapang Karam pada 9 Juli 2023
Penemuan Mayat di Benteng Peluru Kedung Cowek Surabaya," Video yang diunggah oleh @fikarwahid merupakan screenshoot dari akun ini_surabaya yang memuat narasi penemuan sosok mayat pada Minggu, 07 Mei 2023 sekitar pukul 22",Tiket Promo Kereta Api Hut BUMN 21
KAI Tuntut Pihak Truk yang Tertabrak KA Brantas, Kereta Api Indonesia akan tuntut Pihak Perusahaan Truk yang menjadi penyebab kecelakaan Kereta Api Brantas di Semarang,Minum Teh Batang Lada Bisa Sembuhkan Covid-19
Bendera Indonesia Terbalik di Acara Sea Games," Cuitan twitter yang diunggah pada Jumat, 5 Mei 2023 menuliskan “Kembali bendera Indonesia terbalik di acara Sea Games","Pemilik Rekening BRI yang Telah Divaksin Dapat Bantuan Rp 1,5 Juta"
Jokowi: Kapal Nelayan di Bawah 10 GT Tidak Perlu Izin,"""Untuk perizinan, nelayan-nelayan kecil yang punya 10 GT ke bawah tidak pakai izin lagi",Surat Panggilan Test Calon Pegawai PLN Lokasi Denpasar
Penemuan 3 Mayat di Pantai Lampung,"terdapat penemuan 3 mayat dengan kondisi yang sama tanpa kepala, tanpa telapak tangan dan telapak kaki di tiga pantai berbeda daerah Lampung",KHOTBAH JUMAT DIPIMPIN OLEH WANITA DI PONPES AL-ZAYTUN
KH Asep Saifuddin Chalim Bantah Sebut Orang yang Menyarankan Memilih Gus Ipul Telah Berkhianat," Pesan tersebut disampaikan oleh KH Asef Saifuddin Chalim, Pengasuh PP Amanatul Ummat, Pacet, Mojokerto",MENTERI AGAMA : HORMATI YANG TIDAK PUASA WARUNG TIDAK PERLU DI TUTUP
Puncak Jam Menara Makkah Tersambar Petir,"puncak menara Jam Makkah tersambar petir, unggahan tersebut menuai banyak atensi dari warganet","10 JUTA PEREMPUAN DI RUSIA BERSTATUS LAJANG, SETIAP PRIA AKAN DIWAJIBKAN UNTUK POLIGAMI"
PROGRAM PEMBAGIAN SUPLEMEN GRATIS DARI UST. ADI HIDAYAT BAGI YANG POSITIF COVID-19…,PROGRAM PEMBAGIAN SUPLEMEN GRATIS DARI UST,"""Ahok menjual buku bantu Mako Brimob"""
"Surat Suara Ditemukan Sudah Tercoblos di TPS Malaka, Begini Faktanya","Beredarnya surat suara yang telah tercoblos di TPS 05 Malaka, Dusun Malimbu, Kecamatan Pemenang, Kabupaten Lombok Utara pada pemilihan Calon Bupati dan Wakil Bupati KLU 2020, Rabu (9/12), cukup menggemparkan khalayak publik",Jadwal Penerimaan IPDN 2021
Air Rebusan Mie Instan dapat Suburkan Tanaman, Penulis tampak menuangkan air rebusan tersebut ke tanaman hidroponik,TEKAN SEMUA TOMBOL SAAT LIFT JATUH BISA MENYELAMATKAN NYAWA ANDA?
Desainer Grafis Meninggal Dunia Akibat Begadang dan Minum Kopi,adanya desainer grafis yang meninggal dunia akibat begadang dan meminum kopi,Lutfi Alfiandi ditangkap karena melecehkan bendera
"""Pare Tidak Serta-merta Bisa Menyembuhkan Kanker""",sudah di buktikan dapat menolong pelbagai macam kanker,"Artikel Sangat Berharga: Pengakuan Jujur Jusuf Kalla, Perjuangan Moral Jokowi"
Tes Dehidrasi dengan Cubit Kulit, Dalam video memperlihatkan tes dehidrasi dengan mencubit kulit punggung jari tangan,“setelah mau pilihan pilres buru buru adakan sidak”
Lokomotif Kereta Api Pandalungan Anjlok,lokomotif Kereta Api Pandalungan anjlok di Dekat Stasiun Tanggulangin Sidoarjo,Pesan Panggilan Seleksi Karyawan PT Waskita Karya (Persero) Tbk
Benarkah pemerintahan Presiden Jokowi sudah memperkuat pertahanan dan keamanan di luar kawasan Pulau Jawa?,"“Ini sudah proses pembangunan dan segera akan jadi, saya juga telah memerintahkan untuk gelar pasukan di empat titik penting gelar pasukan terintegrasi yaitu di Natuna sebelah barat, kemudian di Morotai sebelah timur kemudian di Saumlaki, dekat Masela itu, di sebelah selatan dan kemudian di Biak,” kata Jokowi dalam debat capres putaran keempat, 30 Maret 2019 di Hotel Shangrilla, Jakarta",Akun WhatsApp Rektor Unnes Martono “085964387457”
Siswi di Gresik Alami Bully Ditusuk pada Bagian Mata,adanya siswi Sekolah Dasar yang alami Bullying oleh Kakak Kelasnya,Video “si Menag diusir Di kampung muslim”
KH Asep Saifuddin Chalim Bantah Sebut Orang yang Menyarankan Memilih Gus Ipul Telah Berkhianat,"Beredar quotes bergambar dari pengasuh Pondok Pesantren (PP) Amanatul Ummah, Kecamatan Pacet, Kabupaten Mojokerto, KH Asep Saifuddin Chalim terkait pemilihan Calon Gubenur Jawa Timur di Whatsapp (WA)","PERTAMA DALAM SEJARAH ARAB SAUDI, USULAN VATIKAN BANGUN GEREJA KRISTEN DI ARAB DISETUJUI"
"CADANGAN BBM HANYA 12 HARI, SIAP-SIAP LANGKA","menanyakan kebenaran berita yang beredar di media online mengenai Cadangan BBM Indonesia hanya 12 Hari, siap-siap akan mengalama kelangkaan, setelah tim   melakukan penelusuran kabar tersebut BENAR",VIDEO SITUASI DIDALAM PESAWAT SRIWIJAYA AIR SJ182 SEBELUM JATUH
Susu Kental Manis Tidak Cocok untuk Anak," Biasanya, isi iklan menampilkan anak-anak yang tengah meminum susu di sela-sela aktivitasnya","Singapura Negara Pertama yang Lakukan Otopsi Jenazah Covid-19, Sumber Kemenkes Singapura"
"WASPADA, BMKG SEBUT 3 HARI KEDEPAN TERJADI PENINGKATAN KECEPATAN ANGIN DI CIAYUMAJAKUNING","menanyakan kebenaran informasi yang beredar di group whatsapp “Waspada, BMKG Sebut 3 Hari Kedepan Terjadi Peningkatan Kecepatan Angin Di Ciayumajakuning”",SANDAL BERTULISKAN HURUF ARAB DARI AYAT AL-QURAN
"GATOT NURMANTYO TAK TAKUT DI BILANG PROVOKATOR, PANCASILA AKAN DIGANTI KOMUNIS","informasi JENDERAL (Purn) Gatot Nurmantyo  mengaku tidak takut dibilang melakukan provokator, Pancasila akan diganti komunis",Sampul Majalah Hidayah Bahas Kepulangan Rizieq Shihab
"Surat Suara Ditemukan Sudah Tercoblos di TPS Malaka, Begini Faktanya"," Foto surat suara tersebut juga telah dibagikan ke beberapa grup, seperti grup Gerakan Ganti Bupati 2020",RIDWAN KAMIL DAN BIMA ARYA PLANGA-PLONGO DI INGGRIS KARENA BANYAK MINUM AIR SABUN
TERDAKWA SUAP KASUS MEIKARTA SEBUT NAMA RIDWAN KAMIL,"menerima aduan yang menanyakan informasi yang beredar di media daring, tentang disebutnya nama Gubernur Jawa Barat Ridwan Kamil dalam persidangan kasus Meikarta",Pemuda/Pemudi Mengatasnamakan Universitas/Perguruan Tinggi Meminta Foto KTP
Gubernur Khofifah Ajukan Pengangkatan 6.141 Guru Honorer Lolos Passing Grade Jadi PPPK di tahun 2023,"id/berita/gubernur-khofifah-ajukan-pengangkatan-6-141-guru-honorer-lolos-passing-grade-jadi-pppk, kami menyatakan hal tersebut fakta atau benar adanya",Bunga Kitolod Bisa Menyembuhkan Katarak
GUBERNUR ACEH SEBUT TAK ADA HUKUM CAMBUK UNTUK KORUPSI,"Tim Jabar Saber Hoaks, menerima aduan yang menanyakan kebenaran dari informasi menyebutkan Gubernur Aceh Sebut tidak ada hukum cambuk untuk korupsi",Pesan Berantai Tautan Kuota Belajar 75GB Berlaku Sampai 10 Januari 2021
Buaya Muncul di Pantai Anyer,suasana pantai dengan ombak berbuih,"BROADCAST BSSN AKAN REKAM TELEPON DAN PANTAU WA, TWITTER, FACEBOOK"
4 Unicorn Indonesia yang Dibanggakan Jokowi,Calon presiden nomor urut 01 Joko Widodo menyebut Indonesia memiliki 4 startup unicorn dari 7 unicorn yang ada di Asia Tenggara,Meninggalnya Mantan Ketua KPU Husni Kamil Terkait Pilpres 2014?
Benarkah pernyataan Calon Presiden Joko Widodo bahwa Indonesia kini berhasil menduduki tujuan wisata halal nomor satu di dunia?,"Calon presiden nomor urut 01, Joko Widodo mengklaim bahwa Indonesia kini berhasil menduduki tujuan wisata halal nomor 1 di dunia",Foto Gajah Menolong Anak Singa Dengan Belalainya.
Gelatin Babi pada Beberapa Jenis Makanan,Beredar video yang tersebar di WhatsApp mengenai gelatin babi pada makanan,Anggur yang Dijual Pinggir Jalan di Padang dan Tegal Berformalin
SEMANGKA YANG DIMASUKAN DALAM KULKAS BISA SEBABKAN USUS MEMBUSUK,"informasi Semangka yang Dimasukan Dalam Kulkas Bisa Sebabkan Usus Membusuk setelah di telusuri informasi tersebut BENAR sebagaimana di muat dalam Liputan 6, dan dan Food Detik",PENUTUPAN SPBU SEMENTARA 12 JULI 2021-17 JULI 2021
Anggota Karang Taruna Meninggal Dunia Usai Tertembak Oknum Polisi,adanya anggota Karangtaruna berinisial A yang tertembak oleh oknum polisi yang diunggah oleh akun Merapi Uncover,Video “ITALIA bergema takbir aamiin”
Mobil Terbakar di Ketintang Barat,sebuah mobil merah mengeluarkan asap di depan minimarket,Akhirnya Bocor Juga Bapaknya Jokowi Yang Asli
Bus Listrik Surabaya Mangkrak,mangkraknya angkutan umum berupa bus listrik di Surabaya,FOTO WARGA ITALIA BUANG UANG KE JALAN KARENA WABAH VIRUS CORONA
Pelatih Silat Vietnam Nantang Baku Hantam Pelatih Asal Indonesia, Dalam keterangan video yang diunggah oleh akun Twitter @Heraloebss pada 12 Mei 2023 menyebutkan bahwa pelatih Silat Vitenam menantang baku hantam pelatih asal Indonesia saat SEA Games 2023 di Kamboja,VIDEO DAMPAK GEMPA GARUT TADI SORE
"BANTAH GAJINYA BESAR, DIRUT BPJS SEBUT GAJINYA RP 150 JUTA PERBULAN",mengenai Dirut BPJS membantah Gajinya besar dan menyebut Gajinya Rp 150 Juta perbulan,Fenomena Albelian selama Juli-Agustus 2022
Benarkah Polisi Menurunkan Bendera-bendera Peserta Piala Dunia 2018 di Kabupaten Sorong?, Polresta Kota Sorong turunkan sejumlah bendera Kontestan Piala Dunia 2018,Video Korban Ponsel Meledak karena Minum Air dan Menggunakan Ponsel yang Sedang Diisi Daya
" Benar, Cabup Barru Malkan Amin Meninggal Dunia di RSUP Wahidin Sudirohusodo","Media sosial dan chat whatsapp diramaikan dengan kabar meninggalnya calon bupati Kabupaten Barru, HM Malkan Amin pada hari pemilihan serentak hari ini, Rabu 9 Desember 2020",Vaksinasi di PPSDMK Cukup Bawa KTP Sebagai Syarat
"""Pare Tidak Serta-merta Bisa Menyembuhkan Kanker""",Air panas ekstrak pare akan berpengaruh terhadap kista dan tumor,"Foto “Masjid Meledak Saat Waktu Sholat Jumat, Sebanyak 50 Jamaah Meninggal Dunia”"
"CORONA MELANDA, BEBERAPA DISPENDA KOTA/KABUPATEN BERIKAN INSENTIF TAGIHAN PBB","CORONA MELANDA, BEBERAPA DISPENDA KOTA/KABUPATEN BERIKAN INSENTIF TAGIHAN PBB",Video “Okey Batman sudah tiba di Capitol Hill utk bubarin demo”
Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya,"Sebelumnya, Badan Pemenangan Nasional (BPN) Prabowo Subianto-Sandiaga Uno menyatakan sejumlah emak-emak di Karawang, Jawa Barat, yang berkampanye tentang ‘azan dilarang dan diperbolehkannya nikah sejenis jika Jokowi menang’ merupakan relawan Prabowo-Sandi",“sejak kapan KA ini menuliskan huruf/bahasa China?”
"Paus Terdampar di Pantai Lepang Klungkung, Bali"," Video tersebut diunggah pada 7 April 2023 dan disertai keterangan yang menyebutkan seekor Paus terdampar di Pantai Lepang Klungkung, Bali pada 5 April 2023",JOKOWI ANCAM DO MAHASISWA YANG DEMO TOLAK TIGA PERIODE
Waduk Kedungombo Bekas Pemukiman,waduk Kedung Ombo merupakan bekas pemukiman warga yang terdiri dari 5,VIDEO REKAMAN SUARA BERGAMBAR MANTAN PANGLIMA TNI SOAL PILPRES
HIMBAUAN PEMERINTAH RI KEPADA MASYARAKAT INDONESIA UNTUK MENGIBARKAN BENDERA SETENGAH…," HABIBIE[KLARIFIKASI FAKTA]Berdasarkan aduan yang masuk melalui admin JSH, menanyakan kebenran edaran pemerintah untuk mengibarkan bendera setengah tiang, sebagai wujud hari Berkabung Nasional atas Meninggalnya Presiden RI ke-3 B",Darah Orang yang Sudah Divaksin COVID-19 Tidak Sehat
"JIKA NANTI JOKOWI DAN MARUF TIDAK TERPILIH, NU HANYA AKAN MENJADI FOSIL DI MASA…","JIKA NANTI JOKOWI DAN MA’RUF TIDAK TERPILIH, NU HANYA AKAN MENJADI FOSIL DI MASA DEPAN",Pemerintah Membagikan Kuota 10GB Gratis sebagai Insentif untuk Melawan COVID-19
Gubernur Khofifah Ajukan Pengangkatan 6.141 Guru Honorer Lolos Passing Grade Jadi PPPK di tahun 2023,"  Gubernur Jawa Timur, Khofifah Indar Parawansa mengusulkan kepada Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi terkait kebutuhan PPPK Tahun Anggaran 2023",Benarkah Pendiri Alibaba Jack Ma Sebut Tahun 2020 Hanyalah Tahun untuk Bertahan Hidup?
"Kereta Tangki Pertamina Anjlok di Perlintasan Ketegan, Sidoarjo",Beredar video TikTok yang  menampilkan kereta Pertamina anjlok,Video “Akibat virus Corona Babi di kubur hidup-hidup”
Ridwan Kamil Bantah Artikel “Ridwan Kamil: Di jawa Barat Kita Akan Mendata Siapa Saja Yang Tidak Mendukung Jokowi!!”,"Gubernur Barat, Ridwan kamil lagi-lagi menjadi korban hoaks",“Surat Dari K.H. Mustofa Bisri (Gus Mus) di Whatsapp”
Tayar Pesawat Boeing Tercabut Ketika Berlepas,adanya Tayar Pesawat Boeing tercabut saat lepas landas,Video Detik-Detik Penangkapan Ustaz Yahya Waloni
PSI Berikan Kebohongan Award untuk Prabowo,Partai Solidaritas Indonesia (PSI) pernah memberikan Kebohongan Award kepada Prabowo Sunianto,Pesan Berantai Whatsapp Bantuan Sosial Finansial Rp3.550.00 Dari BPJS Kesehatan
"Penggalian Saluran Air di Penjaringan, Jakarta Utara Bukan Proyek Palyja","com, Sandiaga menyatakan bahwa proyek galian yang menelan korban jiwa di Penjaringan bukan dikerjakan oleh Palyja",Video Bendera Khilafah Dikibarkan Saat Pembukaan Piala Dunia di Qatar
Gubernur Khofifah Ajukan Pengangkatan 6.141 Guru Honorer Lolos Passing Grade Jadi PPPK di tahun 2023," Apabila formasi yang tersedia kurang dari usulan, maka  rekrutmen PPPK Guru dilakukan dengan mekanisme prioritas bagi Guru yang telah lolos Passing Grade pada seleksi PPPK Tahun 2021 dengan urutan Eks THK-II, Guru Honorer Negeri, Lulusan Pendidikan Profesi Guru dan Guru Honorer Swasta",GURITA KEHAUSAN SEDANG MENGALAMI DEHIDRASI
"Dieng Suhu Minus 3,5 derajat Celcius","suhu di dataran tinggi Dieng membeku dan suhu mencapai minus 3,5 derajat celcius",KPK GELAR REKRUTMEN PEGAWAI BARU
"Penggalian Saluran Air di Penjaringan, Jakarta Utara Bukan Proyek Palyja","Proyek galian saluran air yang longsor dan memakan korban jiwa, Tarno (42), di Penjaringan, Jakarta Utara bukanlah proyek milik PT",Bos Mayapada Jadi Pembina Brimob dan TNI
Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO," Menanggapi hal tersebut, Dinas Marga DKI Jakarta memberikan klarifikasi",BELANJA PAKAI KANTONG PLASTIK KENA DENDA 250K
BPJS Hentikan Meng-cover Biaya Pengobatan Kanker,"Calon wakil presiden nomor urut 2, Sandiaga Uno menyebutkan bahwa defisit BPJS telah menyebabkan pengobatan seorang ibu di Sragen harus dihentikan",FOTO SEORANG BOCAH MENGAMBIL BATU UNTUK MEMBALAS TENTARA INDIA YANG MENEMBAK KAKEKNYA
Mobil Google Maps Tersesat di Perkebunan Tebu di Malang, Dalam keterangan video dituliskan bahwa mobil Google Maps tersesat di perkebunan milik warga Malang Jawa Timur,VAKSIN COVID-19 TIDAK KEBAL MENGHADAPI VIRUS
Guru di Bekasi Dipecat Lewat Pesan Grup Whatsapp Gara-Gara Beda Pilihan di Pilkada Jabar,"Seorang guru Sekolah Dasar Islam Terpadu (SDIT) Darul Maza, Jatisari, Kecamatan Jatiasih, Kota Bekasi, diberhentikan secara tidak hormat oleh pihak yayasan, telah menjadi viral di media sosial",Arahan Gubernur DKI Terkait Himbauan Covid-19
Bayi Meninggal Akibat Mendengar Petasan," Dalam keterangannya menyebut bahwa bayi yang berusia 38 hari tersebut mengalami kejang-kejang, mata tertutup sebelah dan lidah yang terbalik ke atas",Mencuci Hidung Dengan Garam Menghilangkan Virus Corona
INFORMASI RENCANA KENAIKAN IURAN PESERTA BPJS,INFORMASI RENCANA KENAIKAN IURAN PESERTA BPJS,Jus Daun Pepaya Mentah Obat DBD
"Sebagian Benar, Klaim Jokowi Soal Hampir Tidak Ada Konflik Pembebasan Lahan","Calon Presiden nomor urut 01 Joko Widodo (Jokowi) mengklaim bahwa dalam 4,5 tahun terakhir hampir tidak ada konflik dalam pembebasan lahan untuk memuluskan proyek-proyek infrastruktur negara",Sindrom Stiff-Person yang Diderita Penyanyi Celine Dion Disebabkan Vaksin Pfizer
Keaseang Menjadi Ketua Umum PSI (Partai Solidaritas Indonesia),Kaesang Pangarep menjadi ketua umum PSI (Partai Solidaritas Indonesia),OBAT DBD DENGAN JUS DAUN PEPAYA
"Lambangnya Dicatut Sekber Gerindra-PKS, PBB Beri Klarifikasi","co, Ketua Bidang Pemenangan PBB Sukmo Harsono membantah partainya terlibat dalam peresmian Sekber tersebut",PENGUMUMAN BAGI NASABAH BRI AGAR MENGGANTI KARTU ATM GPN KE MASTER CARD
"Tambangan Perahu Megaluh, Jombang Hanyut", Pengunggah video menuliskan dalam keterangannya bahwa perahu tambangan di Desa Megaluh Jombang hanyut karena mesin mati,Video “Penampakan tuyul di konter HP”
Kereta Cepat Jakarta-Bandung Tembus 300 KM/Jam, Dalam caption unggahannya juga menuliskan ‘Kereta cepat Jakarta Bandung 45 Menit’,Putusan Hakim Terhadap Kasus Anak 15 Tahun yang Mencuri Roti
Penjelasan Bupati Nduga Terkait Foto Anaknya sedang Memegang Bendera Bintang Kejora," Diduga bahwa pemuda yang di dalam foto tersebut merupakan anak ketiga dari Bupati Nduga, Yarius Gwijangge, yang tengah menempuh pendidikan di Australia",APLIKASI JABAR QUICK RESPONSE
"Tambangan Perahu Megaluh, Jombang Hanyut",Beredar video TikTok yang diunggah pada 27 Februari 2023 memperlihatkan sebuah kapal tambangan tidak terkendali terseret arus pada malam hari,ENAM DOKTER KANADA MENINGGAL MENDADAK BERTURUT TURUT DALAM WAKTU DUA MINGGU TERKAIT…
"Kepala Desa Karangasem, Pasuruan Lakukan Gendam", Dalam video terdapat keterangan bahwa pria tersebut adalah Kepala Desa Karangasem Kecamatan Wonorejo Kabupaten Pasuruan yang sedang melakukan aksi gendam di toko skincare Tuban,KOMPENSASI COVID-19 RP.150.000 PER BULAN BAGI PESERTA BPJS MULAI 1 FEBRUARI
Pendakian Kawah Ijen dibuka 12 Agustus 2023,pendakian Kawah Ijen dibuka pukul 02,JOKOWI MENGEMBALIKAN AHOK KE DKI JAKARTA
Siswi di Gresik Alami Bully Ditusuk pada Bagian Mata," Siswi tersebut merupakan siswi kelas 2 SD di Menganti, Kabupaten Gresik",Longsor di Jalur Medan-Berastagi pada 19 September 2021
CEO Perusahaan Teknologi India Vistex Meninggal,CEO perusahaan teknologi India meninggal saat pesta perayaan 25 tahun perusahaan,NOMER WHATSAPP MENGATASNAMAKAN ANGGOTA DPRD KOTA BANDUNG  ANDRI RUSMANA
